case_id,fault_type,service_family,budget,rank,top1,top3,top5,avg_at_5,config
dbservice2_memory_1625269953,memory,database,0.25,3,0,1,1,0.6,baseline
dbservice2_memory_1625269953,memory,database,0.5,4,0,0,1,0.4,baseline
mobservice1_qr_expired_1625271564,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625271564,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625271564,qr_expired,mobile,0.5,1,1,1,1,1.0,baseline
redisservice1_memory_1625272609,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625272609,memory,cache,0.25,3,0,1,1,0.6,baseline
redisservice1_memory_1625272609,memory,cache,0.5,5,0,0,1,0.2,baseline
mobservice2_qr_expired_1625275953,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625275953,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625275953,qr_expired,mobile,0.5,1,1,1,1,1.0,baseline
logservice1_memory_1625285989,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625285989,memory,logging,0.25,1,1,1,1,1.0,baseline
logservice1_memory_1625285989,memory,logging,0.5,3,0,1,1,0.6,baseline
mobservice1_qr_expired_1625296713,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625296713,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice1_qr_expired_1625296713,qr_expired,mobile,0.5,2,0,1,1,0.8,baseline
logservice1_memory_1625298536,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625298536,memory,logging,0.25,2,0,1,1,0.8,baseline
logservice1_memory_1625298536,memory,logging,0.5,3,0,1,1,0.6,baseline
mobservice2_qr_expired_1625302666,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625302666,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice2_qr_expired_1625302666,qr_expired,mobile,0.5,3,0,1,1,0.6,baseline
logservice2_memory_1625304365,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625304365,memory,logging,0.25,2,0,1,1,0.8,baseline
logservice2_memory_1625304365,memory,logging,0.5,4,0,0,1,0.4,baseline
mobservice2_memory_1625305876,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625305876,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_memory_1625305876,memory,mobile,0.5,2,0,1,1,0.8,baseline
logservice1_memory_1625311435,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625311435,memory,logging,0.25,2,0,1,1,0.8,baseline
logservice1_memory_1625311435,memory,logging,0.5,4,0,0,1,0.4,baseline
redisservice2_memory_1625320792,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice2_memory_1625320792,memory,cache,0.25,3,0,1,1,0.6,baseline
redisservice2_memory_1625320792,memory,cache,0.5,4,0,0,1,0.4,baseline
redisservice2_memory_1625324488,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice2_memory_1625324488,memory,cache,0.25,3,0,1,1,0.6,baseline
redisservice2_memory_1625324488,memory,cache,0.5,4,0,0,1,0.4,baseline
mobservice1_qr_expired_1625325200,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625325200,qr_expired,mobile,0.25,3,0,1,1,0.6,baseline
mobservice1_qr_expired_1625325200,qr_expired,mobile,0.5,4,0,0,1,0.4,baseline
webservice2_memory_1625325487,memory,web,0.1,1,1,1,1,1.0,baseline
webservice2_memory_1625325487,memory,web,0.25,2,0,1,1,0.8,baseline
webservice2_memory_1625325487,memory,web,0.5,3,0,1,1,0.6,baseline
logservice2_memory_1625325873,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625325873,memory,logging,0.25,3,0,1,1,0.6,baseline
logservice2_memory_1625325873,memory,logging,0.5,4,0,0,1,0.4,baseline
redisservice1_memory_1625332594,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625332594,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice1_memory_1625332594,memory,cache,0.5,3,0,1,1,0.6,baseline
mobservice2_qr_expired_1625334978,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625334978,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice2_qr_expired_1625334978,qr_expired,mobile,0.5,2,0,1,1,0.8,baseline
mobservice1_memory_1625353753,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_memory_1625353753,memory,mobile,0.25,2,0,1,1,0.8,baseline
mobservice1_memory_1625353753,memory,mobile,0.5,2,0,1,1,0.8,baseline
mobservice1_qr_expired_1625355663,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625355663,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice1_qr_expired_1625355663,qr_expired,mobile,0.5,3,0,1,1,0.6,baseline
dbservice2_memory_1625356783,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice2_memory_1625356783,memory,database,0.25,3,0,1,1,0.6,baseline
dbservice2_memory_1625356783,memory,database,0.5,4,0,0,1,0.4,baseline
mobservice2_memory_1625359712,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_memory_1625359712,memory,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_memory_1625359712,memory,mobile,0.5,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625360218,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625360218,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625360218,qr_expired,mobile,0.5,1,1,1,1,1.0,baseline
logservice1_memory_1625360381,memory,logging,0.1,1,1,1,1,1.0,baseline
