case_id,root_service,fault_type,service_family,rank,top1,top3,top5,avg_at_5,top5_services,root_service_score
webservice1_memory_1625222072,webservice1,memory,web,8,0,0,0,0.0,"['mobservice1', 'dbservice1', 'logservice2', 'logservice1', 'dbservice2']",2.72638255759061
mobservice1_memory_1625224444,mobservice1,memory,mobile,1,1,1,1,1.0,"['mobservice1', 'mobservice2', 'logservice1', 'dbservice2', 'redisservice2']",104.25441358751023
dbservice1_memory_1625231603,dbservice1,memory,database,3,0,1,1,0.6,"['mobservice1', 'webservice2', 'dbservice1', 'redisservice2', 'mobservice2']",6.645161290323947
mobservice1_memory_1625232540,mobservice1,memory,mobile,9,0,0,0,0.0,"['dbservice1', 'logservice1', 'dbservice2', 'logservice2', 'redisservice2']",2.086779500596799
logservice1_memory_1625234459,logservice1,memory,logging,9,0,0,0,0.0,"['mobservice2', 'dbservice1', 'mobservice1', 'webservice2', 'dbservice2']",1.6666666666666667
mobservice2_memory_1625235821,mobservice2,memory,mobile,3,0,1,1,0.6,"['redisservice2', 'mobservice1', 'mobservice2', 'webservice1', 'logservice1']",107.3914460352977
mobservice2_memory_1625240040,mobservice2,memory,mobile,5,0,0,1,0.2,"['dbservice2', 'webservice2', 'dbservice1', 'mobservice1', 'mobservice2']",3.216216216213961
mobservice1_qr_expired_1625240727,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice1', 'webservice2', 'dbservice2', 'redisservice1']",350.8376071684588
mobservice2_qr_expired_1625242846,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['dbservice2', 'mobservice2', 'dbservice1', 'logservice2', 'redisservice2']",9.076923076882409
dbservice1_memory_1625243441,dbservice1,memory,database,6,0,0,0,0.0,"['mobservice2', 'webservice1', 'webservice2', 'dbservice2', 'redisservice1']",3.9999999999990283
mobservice1_memory_1625247576,mobservice1,memory,mobile,2,0,1,1,0.8,"['mobservice2', 'mobservice1', 'logservice1', 'logservice2', 'dbservice1']",51.117662692952145
redisservice2_memory_1625250114,redisservice2,memory,cache,7,0,0,0,0.0,"['mobservice1', 'mobservice2', 'webservice2', 'dbservice1', 'dbservice2']",3.0229885057466803
webservice1_file_move_1625256600,webservice1,file_move,web,2,0,1,1,0.8,"['mobservice2', 'webservice1', 'webservice2', 'mobservice1', 'redisservice2']",29.5
dbservice2_memory_1625257548,dbservice2,memory,database,6,0,0,0,0.0,"['mobservice1', 'mobservice2', 'dbservice1', 'logservice1', 'logservice2']",13.646581842746459
redisservice2_memory_1625264600,redisservice2,memory,cache,9,0,0,0,0.0,"['mobservice1', 'dbservice2', 'dbservice1', 'webservice1', 'logservice2']",2.0
dbservice2_memory_1625269953,dbservice2,memory,database,8,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice1', 'redisservice1', 'redisservice2']",1.4398946386683842
mobservice1_qr_expired_1625271564,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice2', 'redisservice1', 'redisservice2', 'mobservice2']",626.9606214285714
redisservice1_memory_1625272609,redisservice1,memory,cache,10,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice2', 'dbservice1', 'logservice1']",1.5901563495636875
mobservice2_qr_expired_1625275953,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'dbservice1', 'redisservice1', 'webservice2', 'mobservice1']",607.1532711101839
logservice1_memory_1625285989,logservice1,memory,logging,6,0,0,0,0.0,"['mobservice1', 'webservice2', 'dbservice2', 'dbservice1', 'redisservice1']",2.693159763505387
mobservice1_qr_expired_1625296713,mobservice1,qr_expired,mobile,8,0,0,0,0.0,"['dbservice2', 'mobservice2', 'webservice2', 'redisservice1', 'webservice1']",3.16270068470074
logservice1_memory_1625298536,logservice1,memory,logging,8,0,0,0,0.0,"['mobservice1', 'webservice1', 'dbservice1', 'mobservice2', 'redisservice2']",1.311938894968475
mobservice2_qr_expired_1625302666,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['webservice2', 'mobservice2', 'mobservice1', 'webservice1', 'redisservice2']",701.6811475787185
logservice2_memory_1625304365,logservice2,memory,logging,3,0,1,1,0.6,"['mobservice2', 'webservice1', 'logservice2', 'webservice2', 'dbservice2']",5.0
mobservice2_memory_1625305876,mobservice2,memory,mobile,2,0,1,1,0.8,"['mobservice1', 'mobservice2', 'webservice2', 'webservice1', 'redisservice1']",37.39181619262749
logservice1_memory_1625311435,logservice1,memory,logging,3,0,1,1,0.6,"['mobservice2', 'mobservice1', 'logservice1', 'dbservice1', 'redisservice1']",5.088831445424856
redisservice2_memory_1625320792,redisservice2,memory,cache,8,0,0,0,0.0,"['mobservice1', 'dbservice1', 'webservice1', 'webservice2', 'redisservice1']",2.0
redisservice2_memory_1625324488,redisservice2,memory,cache,9,0,0,0,0.0,"['mobservice1', 'mobservice2', 'webservice2', 'dbservice1', 'logservice1']",3.61801488556788
mobservice1_qr_expired_1625325200,mobservice1,qr_expired,mobile,4,0,0,1,0.4,"['webservice2', 'mobservice2', 'webservice1', 'mobservice1', 'dbservice2']",361.27559375
webservice2_memory_1625325487,webservice2,memory,web,7,0,0,0,0.0,"['mobservice2', 'mobservice1', 'redisservice2', 'dbservice2', 'webservice1']",2.1419596611219016
logservice2_memory_1625325873,logservice2,memory,logging,10,0,0,0,0.0,"['mobservice1', 'mobservice2', 'dbservice2', 'redisservice1', 'redisservice2']",2.0
redisservice1_memory_1625332594,redisservice1,memory,cache,2,0,1,1,0.8,"['webservice2', 'redisservice1', 'webservice1', 'dbservice1', 'mobservice1']",5.288952469660966
mobservice2_qr_expired_1625334978,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['webservice1', 'mobservice2', 'dbservice1', 'logservice1', 'logservice2']",263.8562857142857
mobservice1_memory_1625353753,mobservice1,memory,mobile,7,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice1', 'redisservice1', 'dbservice2']",3.468634686341333
mobservice1_qr_expired_1625355663,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice2', 'webservice1', 'redisservice1', 'redisservice2']",602.4483308080809
dbservice2_memory_1625356783,dbservice2,memory,database,4,0,0,1,0.4,"['mobservice1', 'webservice2', 'mobservice2', 'dbservice2', 'logservice1']",3.0362302595615405
mobservice2_memory_1625359712,mobservice2,memory,mobile,1,1,1,1,1.0,"['mobservice2', 'mobservice1', 'logservice2', 'dbservice1', 'logservice1']",123.04780292149611
mobservice2_qr_expired_1625360218,mobservice2,qr_expired,mobile,4,0,0,1,0.4,"['redisservice1', 'mobservice1', 'webservice2', 'mobservice2', 'dbservice1']",6.894736842084212
logservice1_memory_1625360381,logservice1,memory,logging,2,0,1,1,0.8,"['webservice1', 'logservice1', 'dbservice1', 'redisservice1', 'webservice2']",3.339960238569051
webservice2_file_move_1625361000,webservice2,file_move,web,2,0,1,1,0.8,"['mobservice1', 'webservice2', 'dbservice1', 'dbservice2', 'webservice1']",30.5
dbservice2_memory_1625363058,dbservice2,memory,database,10,0,0,0,0.0,"['mobservice1', 'webservice1', 'mobservice2', 'logservice1', 'dbservice1']",1.281872845889514
webservice2_memory_1625367620,webservice2,memory,web,7,0,0,0,0.0,"['webservice1', 'mobservice1', 'dbservice1', 'logservice1', 'mobservice2']",3.9223042836041357
webservice1_file_move_1625371800,webservice1,file_move,web,1,1,1,1,1.0,"['webservice1', 'mobservice2', 'webservice2', 'logservice1', 'dbservice1']",31.5
webservice1_memory_1625373179,webservice1,memory,web,2,0,1,1,0.8,"['mobservice2', 'webservice1', 'dbservice2', 'dbservice1', 'mobservice1']",16.33297492013067
logservice2_memory_1625379370,logservice2,memory,logging,10,0,0,0,0.0,"['mobservice2', 'webservice2', 'redisservice1', 'mobservice1', 'logservice1']",1.2043076661433119
mobservice1_memory_1625379697,mobservice1,memory,mobile,9,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice2', 'dbservice1', 'logservice1']",2.510721148709599
webservice1_memory_1625380916,webservice1,memory,web,10,0,0,0,0.0,"['mobservice2', 'dbservice2', 'dbservice1', 'webservice2', 'logservice1']",1.2
webservice2_memory_1625381030,webservice2,memory,web,3,0,1,1,0.6,"['mobservice2', 'mobservice1', 'webservice2', 'dbservice1', 'logservice1']",10.110431224252405
mobservice1_qr_expired_1625383443,mobservice1,qr_expired,mobile,2,0,1,1,0.8,"['webservice1', 'mobservice1', 'dbservice2', 'logservice2', 'redisservice1']",23.649729729729813
dbservice1_memory_1625384013,dbservice1,memory,database,5,0,0,1,0.2,"['mobservice1', 'mobservice2', 'webservice1', 'webservice2', 'dbservice1']",4.393978163511187
webservice2_file_move_1625386200,webservice2,file_move,web,2,0,1,1,0.8,"['mobservice1', 'webservice2', 'dbservice1', 'webservice1', 'logservice1']",42.0
mobservice2_qr_expired_1625390816,mobservice2,qr_expired,mobile,3,0,1,1,0.6,"['webservice1', 'logservice1', 'mobservice2', 'dbservice1', 'webservice2']",7.777777777803647
logservice2_memory_1625396241,logservice2,memory,logging,7,0,0,0,0.0,"['mobservice2', 'logservice1', 'dbservice1', 'webservice2', 'dbservice2']",2.0
webservice1_file_move_1625400601,webservice1,file_move,web,2,0,1,1,0.8,"['mobservice1', 'webservice1', 'dbservice2', 'logservice2', 'dbservice1']",30.5
mobservice1_qr_expired_1625409300,mobservice1,qr_expired,mobile,6,0,0,0,0.0,"['redisservice1', 'dbservice2', 'logservice1', 'logservice2', 'webservice1']",6.0
dbservice1_memory_1625411468,dbservice1,memory,database,6,0,0,0,0.0,"['mobservice1', 'webservice1', 'webservice2', 'dbservice2', 'mobservice2']",3.0247349823316085
webservice1_memory_1625415630,webservice1,memory,web,4,0,0,1,0.4,"['dbservice1', 'redisservice1', 'logservice1', 'webservice1', 'mobservice2']",3.7311227244578564
webservice2_memory_1625418006,webservice2,memory,web,4,0,0,1,0.4,"['mobservice1', 'mobservice2', 'webservice1', 'webservice2', 'logservice1']",6.33416587870653
dbservice1_memory_1625418705,dbservice1,memory,database,4,0,0,1,0.4,"['mobservice2', 'mobservice1', 'webservice1', 'dbservice1', 'webservice2']",34.31865614761181
redisservice1_memory_1625420467,redisservice1,memory,cache,8,0,0,0,0.0,"['mobservice2', 'webservice1', 'logservice1', 'dbservice1', 'mobservice1']",1.8328004333389705
logservice2_memory_1625421899,logservice2,memory,logging,10,0,0,0,0.0,"['mobservice1', 'webservice1', 'webservice2', 'redisservice1', 'logservice1']",1.3678012359247123
webservice2_memory_1625424557,webservice2,memory,web,4,0,0,1,0.4,"['mobservice2', 'mobservice1', 'webservice1', 'webservice2', 'dbservice1']",14.144025881298676
mobservice2_qr_expired_1625425284,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'webservice2', 'logservice1', 'dbservice2']",618.8519255411256
logservice2_memory_1625425518,logservice2,memory,logging,9,0,0,0,0.0,"['mobservice2', 'mobservice1', 'webservice2', 'webservice1', 'dbservice2']",2.7091284652757808
mobservice1_qr_expired_1625436871,mobservice1,qr_expired,mobile,2,0,1,1,0.8,"['webservice1', 'mobservice1', 'webservice2', 'dbservice1', 'mobservice2']",79.29597146172198
logservice1_memory_1625437325,logservice1,memory,logging,5,0,0,1,0.2,"['mobservice1', 'webservice2', 'dbservice2', 'dbservice1', 'logservice1']",2.6666666666666665
redisservice1_memory_1625453062,redisservice1,memory,cache,9,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice1', 'logservice2', 'dbservice2']",2.0
mobservice2_qr_expired_1625455022,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['webservice1', 'mobservice2', 'redisservice2', 'mobservice1', 'dbservice2']",267.32905330634276
logservice1_memory_1625455375,logservice1,memory,logging,9,0,0,0,0.0,"['redisservice1', 'mobservice2', 'redisservice2', 'webservice2', 'webservice1']",2.419248843662877
dbservice2_memory_1625459089,dbservice2,memory,database,7,0,0,0,0.0,"['mobservice2', 'webservice1', 'webservice2', 'dbservice1', 'logservice2']",2.0
dbservice2_memory_1625463515,dbservice2,memory,database,5,0,0,1,0.2,"['mobservice2', 'mobservice1', 'webservice1', 'webservice2', 'dbservice2']",10.098185226915339
logservice2_memory_1625469878,logservice2,memory,logging,9,0,0,0,0.0,"['mobservice1', 'redisservice1', 'dbservice2', 'redisservice2', 'webservice1']",2.1580158293636726
mobservice1_qr_expired_1625473216,mobservice1,qr_expired,mobile,2,0,1,1,0.8,"['webservice2', 'mobservice1', 'dbservice1', 'logservice2', 'logservice1']",321.5579117647059
redisservice1_memory_1625473678,redisservice1,memory,cache,5,0,0,1,0.2,"['logservice1', 'mobservice2', 'dbservice1', 'logservice2', 'redisservice1']",4.049122807019586
logservice1_memory_1625474243,logservice1,memory,logging,7,0,0,0,0.0,"['dbservice1', 'mobservice2', 'webservice1', 'redisservice1', 'dbservice2']",3.893352948134849
logservice2_memory_1625483091,logservice2,memory,logging,5,0,0,1,0.2,"['redisservice2', 'mobservice1', 'dbservice1', 'logservice1', 'logservice2']",4.401934975593248
mobservice2_qr_expired_1625489299,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'dbservice2', 'webservice2', 'redisservice1']",338.2786265597148
redisservice2_memory_1625493529,redisservice2,memory,cache,5,0,0,1,0.2,"['mobservice2', 'mobservice1', 'webservice2', 'webservice1', 'redisservice2']",7.646282164608812
logservice1_memory_1625493602,logservice1,memory,logging,8,0,0,0,0.0,"['mobservice2', 'dbservice1', 'mobservice1', 'webservice1', 'webservice2']",3.188073394495413
webservice2_file_move_1625501400,webservice2,file_move,web,4,0,0,1,0.4,"['logservice2', 'mobservice1', 'dbservice1', 'webservice2', 'mobservice2']",12.25
mobservice1_qr_expired_1625505879,mobservice1,qr_expired,mobile,8,0,0,0,0.0,"['mobservice2', 'logservice2', 'dbservice1', 'redisservice1', 'dbservice2']",5.7332599604446655
logservice1_memory_1625506342,logservice1,memory,logging,9,0,0,0,0.0,"['redisservice1', 'mobservice2', 'webservice1', 'mobservice1', 'logservice2']",2.5996204933586338
webservice1_memory_1625506658,webservice1,memory,web,10,0,0,0,0.0,"['dbservice1', 'redisservice1', 'redisservice2', 'logservice2', 'dbservice2']",1.487389499963982
redisservice1_memory_1625508996,redisservice1,memory,cache,7,0,0,0,0.0,"['logservice2', 'mobservice1', 'mobservice2', 'dbservice1', 'logservice1']",3.4941995359609894
logservice2_memory_1625511359,logservice2,memory,logging,9,0,0,0,0.0,"['mobservice1', 'mobservice2', 'webservice1', 'dbservice1', 'webservice2']",3.3485193621873184
redisservice2_memory_1625512043,redisservice2,memory,cache,10,0,0,0,0.0,"['mobservice1', 'webservice2', 'dbservice2', 'logservice1', 'logservice2']",2.781783681214421
logservice2_memory_1625518598,logservice2,memory,logging,4,0,0,1,0.4,"['mobservice2', 'webservice2', 'logservice1', 'logservice2', 'dbservice1']",4.5
logservice1_memory_1625519722,logservice1,memory,logging,7,0,0,0,0.0,"['mobservice1', 'mobservice2', 'redisservice1', 'redisservice2', 'dbservice1']",2.746781115880328
mobservice2_qr_expired_1625521837,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'mobservice1', 'dbservice2', 'dbservice1', 'redisservice2']",970.708654674243
webservice1_memory_1625522955,webservice1,memory,web,8,0,0,0,0.0,"['mobservice2', 'webservice2', 'redisservice1', 'logservice1', 'dbservice2']",4.857142857142857
mobservice2_memory_1625527607,mobservice2,memory,mobile,4,0,0,1,0.4,"['mobservice1', 'webservice2', 'redisservice1', 'mobservice2', 'dbservice2']",3.795918367346799
logservice2_memory_1625530676,logservice2,memory,logging,5,0,0,1,0.2,"['webservice1', 'dbservice2', 'logservice1', 'mobservice1', 'logservice2']",3.638814016172507
logservice2_memory_1625537669,logservice2,memory,logging,3,0,1,1,0.6,"['webservice1', 'mobservice2', 'logservice2', 'dbservice2', 'mobservice1']",3.745042492917847
mobservice1_qr_expired_1625542705,mobservice1,qr_expired,mobile,6,0,0,0,0.0,"['dbservice2', 'redisservice2', 'webservice1', 'redisservice1', 'dbservice1']",0.02566523425008649
webservice1_memory_1625546136,webservice1,memory,web,1,1,1,1,1.0,"['webservice1', 'dbservice2', 'redisservice1', 'mobservice2', 'redisservice2']",6.962132640563146
mobservice2_memory_1625552888,mobservice2,memory,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'dbservice2', 'redisservice1', 'redisservice2']",20.730769230777472
mobservice2_qr_expired_1625553275,mobservice2,qr_expired,mobile,7,0,0,0,0.0,"['logservice2', 'webservice1', 'redisservice2', 'logservice1', 'dbservice2']",4.199999999981225
webservice2_file_move_1625559000,webservice2,file_move,web,8,0,0,0,0.0,"['dbservice1', 'mobservice1', 'webservice1', 'dbservice2', 'redisservice2']",1.8298216508351905
dbservice2_memory_1625564139,dbservice2,memory,database,5,0,0,1,0.2,"['mobservice2', 'mobservice1', 'redisservice1', 'webservice1', 'dbservice2']",4.288529542234661
logservice2_memory_1625567926,logservice2,memory,logging,4,0,0,1,0.4,"['mobservice1', 'redisservice2', 'redisservice1', 'logservice2', 'mobservice2']",4.809352185565105
logservice2_memory_1625572292,logservice2,memory,logging,10,0,0,0,0.0,"['mobservice1', 'redisservice2', 'webservice1', 'dbservice2', 'dbservice1']",1.3492667313796993
dbservice1_memory_1625578885,dbservice1,memory,database,8,0,0,0,0.0,"['webservice1', 'redisservice2', 'logservice1', 'redisservice1', 'logservice2']",1.460401431461029
dbservice2_memory_1625579430,dbservice2,memory,database,2,0,1,1,0.8,"['redisservice2', 'dbservice2', 'logservice1', 'logservice2', 'webservice1']",3.2317925587311964
mobservice1_qr_expired_1625580525,mobservice1,qr_expired,mobile,7,0,0,0,0.0,"['mobservice2', 'dbservice1', 'webservice2', 'webservice1', 'redisservice1']",3.394610526561793
dbservice1_memory_1625582957,dbservice1,memory,database,8,0,0,0,0.0,"['mobservice2', 'redisservice2', 'redisservice1', 'logservice1', 'dbservice2']",2.0104450853535107
mobservice2_memory_1625584788,mobservice2,memory,mobile,3,0,1,1,0.6,"['redisservice1', 'redisservice2', 'mobservice2', 'mobservice1', 'webservice1']",4.930430164630943
mobservice2_qr_expired_1625586485,mobservice2,qr_expired,mobile,5,0,0,1,0.2,"['webservice1', 'redisservice1', 'dbservice2', 'redisservice2', 'mobservice2']",0.03242641221512299
dbservice2_memory_1625587157,dbservice2,memory,database,5,0,0,1,0.2,"['dbservice1', 'redisservice2', 'redisservice1', 'webservice1', 'dbservice2']",4.1267356463485685
webservice2_file_move_1625587800,webservice2,file_move,web,9,0,0,0,0.0,"['mobservice2', 'dbservice2', 'webservice1', 'dbservice1', 'redisservice1']",1.2741276261661396
webservice1_memory_1625607930,webservice1,memory,web,7,0,0,0,0.0,"['mobservice2', 'dbservice2', 'mobservice1', 'redisservice2', 'redisservice1']",1.8732669332774052
redisservice1_memory_1625609699,redisservice1,memory,cache,2,0,1,1,0.8,"['redisservice2', 'redisservice1', 'dbservice2', 'dbservice1', 'mobservice1']",58.882943143836414
webservice2_memory_1625614232,webservice2,memory,web,9,0,0,0,0.0,"['mobservice2', 'mobservice1', 'redisservice2', 'webservice1', 'dbservice2']",1.015947835650876
logservice2_memory_1625617463,logservice2,memory,logging,3,0,1,1,0.6,"['mobservice1', 'redisservice2', 'logservice2', 'webservice2', 'redisservice1']",7.912433597897202
redisservice2_memory_1625620800,redisservice2,memory,cache,5,0,0,1,0.2,"['mobservice2', 'webservice2', 'webservice1', 'logservice1', 'redisservice2']",4.0
mobservice1_qr_expired_1625625195,mobservice1,qr_expired,mobile,10,0,0,0,0.0,"['webservice1', 'redisservice2', 'dbservice2', 'redisservice1', 'mobservice2']",0.0
logservice2_memory_1625630457,logservice2,memory,logging,8,0,0,0,0.0,"['mobservice1', 'webservice1', 'redisservice2', 'dbservice2', 'mobservice2']",1.8364691007505527
webservice1_file_move_1625631001,webservice1,file_move,web,2,0,1,1,0.8,"['redisservice1', 'webservice1', 'mobservice2', 'dbservice2', 'redisservice2']",20.0
redisservice1_memory_1625631347,redisservice1,memory,cache,1,1,1,1,1.0,"['redisservice1', 'mobservice1', 'mobservice2', 'dbservice2', 'redisservice2']",72.31955922864982
mobservice2_qr_expired_1625632041,mobservice2,qr_expired,mobile,5,0,0,1,0.2,"['webservice1', 'dbservice2', 'redisservice2', 'redisservice1', 'mobservice2']",0.04160920966450776
dbservice2_memory_1625634388,dbservice2,memory,database,4,0,0,1,0.4,"['redisservice2', 'redisservice1', 'webservice1', 'dbservice2', 'mobservice2']",2.5705867430328624
dbservice1_memory_1625637896,dbservice1,memory,database,2,0,1,1,0.8,"['mobservice2', 'dbservice1', 'logservice2', 'mobservice1', 'logservice1']",541.3276595744961
logservice1_memory_1625642174,logservice1,memory,logging,10,0,0,0,0.0,"['redisservice2', 'mobservice1', 'webservice2', 'dbservice1', 'mobservice2']",1.658974358974368
logservice2_memory_1625644104,logservice2,memory,logging,10,0,0,0,0.0,"['redisservice1', 'logservice1', 'redisservice2', 'webservice2', 'dbservice2']",1.2649333733330188
webservice2_memory_1625649699,webservice2,memory,web,7,0,0,0,0.0,"['webservice1', 'dbservice2', 'redisservice1', 'mobservice2', 'mobservice1']",2.0383351588170866
dbservice2_memory_1625656892,dbservice2,memory,database,3,0,1,1,0.6,"['mobservice2', 'redisservice1', 'dbservice2', 'webservice1', 'logservice2']",5.0
webservice1_memory_1625662559,webservice1,memory,web,5,0,0,1,0.2,"['mobservice2', 'redisservice1', 'dbservice2', 'redisservice2', 'webservice1']",2.882402571518965
mobservice1_qr_expired_1625667731,mobservice1,qr_expired,mobile,5,0,0,1,0.2,"['webservice1', 'dbservice2', 'redisservice1', 'redisservice2', 'mobservice1']",0.02128738968638455
mobservice1_memory_1625667742,mobservice1,memory,mobile,3,0,1,1,0.6,"['dbservice1', 'mobservice2', 'mobservice1', 'webservice1', 'dbservice2']",131.67839195972138
dbservice2_memory_1625669580,dbservice2,memory,database,3,0,1,1,0.6,"['redisservice1', 'redisservice2', 'dbservice2', 'mobservice1', 'webservice1']",4.0
dbservice1_memory_1625671282,dbservice1,memory,database,5,0,0,1,0.2,"['mobservice2', 'mobservice1', 'redisservice2', 'webservice1', 'dbservice1']",6.735689138088263
logservice1_memory_1625673674,logservice1,memory,logging,8,0,0,0,0.0,"['dbservice1', 'mobservice1', 'mobservice2', 'redisservice1', 'dbservice2']",3.676297199891732
