case_id,root_service,fault_type,service_family,budget,policy,rank,top1,top3,top5,avg_at_5,trace_rows_kept,trace_bytes_kept,metric_samples_kept,metric_bytes_kept,minutes_kept,services_kept,combined_reduction
webservice2_memory_1625154530,webservice2,memory,web,0.5,anchored_service_random_rest,5,0,0,1,0.2,1025.0,184500.0,240.0,5760.0,6,5,0.8633896260554885
redisservice2_memory_1625155035,redisservice2,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,61.0,10980.0,16.0,384.0,2,1,0.9920198870818235
redisservice2_memory_1625155035,redisservice2,memory,cache,0.25,anchored_service_random_rest,3,0,1,1,0.6,397.0,71460.0,72.0,1728.0,3,3,0.9486053762534761
redisservice2_memory_1625155035,redisservice2,memory,cache,0.5,anchored_service_random_rest,1,1,1,1,1.0,1475.0,265500.0,240.0,5760.0,6,5,0.8095137777028736
redisservice1_memory_1625157279,redisservice1,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,59.0,10620.0,16.0,384.0,2,1,0.9927655713778549
redisservice1_memory_1625157279,redisservice1,memory,cache,0.25,anchored_service_random_rest,3,0,1,1,0.6,367.0,66060.0,72.0,1728.0,3,3,0.9554337107017474
redisservice1_memory_1625157279,redisservice1,memory,cache,0.5,anchored_service_random_rest,3,0,1,1,0.6,1752.0,315360.0,240.0,5760.0,6,5,0.7888840676896375
mobservice2_memory_1625157918,mobservice2,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,74.0,13320.0,16.0,384.0,2,1,0.9910413806628751
mobservice2_memory_1625157918,mobservice2,memory,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,439.0,79020.0,72.0,1728.0,3,3,0.9472131790547166
mobservice2_memory_1625157918,mobservice2,memory,mobile,0.5,anchored_service_random_rest,4,0,0,1,0.4,1601.0,288180.0,240.0,5760.0,6,5,0.8078446754265542
redisservice2_memory_1625165701,redisservice2,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,138.0,24840.0,16.0,384.0,2,1,0.982525563222213
redisservice2_memory_1625165701,redisservice2,memory,cache,0.25,anchored_service_random_rest,3,0,1,1,0.6,401.0,72180.0,72.0,1728.0,3,3,0.9487987363870646
redisservice2_memory_1625165701,redisservice2,memory,cache,0.5,anchored_service_random_rest,2,0,1,1,0.8,2217.0,399060.0,240.0,5760.0,6,5,0.7195527475268102
mobservice2_memory_1625168598,mobservice2,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,66.0,11880.0,16.0,384.0,2,1,0.9919761325272827
mobservice2_memory_1625168598,mobservice2,memory,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,346.0,62280.0,72.0,1728.0,3,3,0.9581220067519824
mobservice2_memory_1625168598,mobservice2,memory,mobile,0.5,anchored_service_random_rest,1,1,1,1,1.0,1860.0,334800.0,240.0,5760.0,6,5,0.7771845803564419
logservice2_memory_1625172320,logservice2,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,77.0,13860.0,16.0,384.0,2,1,0.9917837613345332
logservice2_memory_1625172320,logservice2,memory,logging,0.25,anchored_service_random_rest,2,0,1,1,0.8,376.0,67680.0,72.0,1728.0,3,3,0.9599640063681041
logservice2_memory_1625172320,logservice2,memory,logging,0.5,anchored_service_random_rest,3,0,1,1,0.6,1724.0,310320.0,240.0,5760.0,6,5,0.8176784107427147
redisservice1_memory_1625174903,redisservice1,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,82.0,14760.0,16.0,384.0,2,1,0.9910413856747355
redisservice1_memory_1625174903,redisservice1,memory,cache,0.25,anchored_service_random_rest,2,0,1,1,0.8,506.0,91080.0,72.0,1728.0,3,3,0.9450983175977852
redisservice1_memory_1625174903,redisservice1,memory,cache,0.5,anchored_service_random_rest,2,0,1,1,0.8,2247.0,404460.0,240.0,5760.0,6,5,0.7573294526868745
redisservice2_memory_1625175011,redisservice2,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,153.0,27540.0,16.0,384.0,2,1,0.983247543284979
redisservice2_memory_1625175011,redisservice2,memory,cache,0.25,anchored_service_random_rest,2,0,1,1,0.8,356.0,64080.0,72.0,1728.0,3,3,0.9605197797055541
redisservice2_memory_1625175011,redisservice2,memory,cache,0.5,anchored_service_random_rest,3,0,1,1,0.6,1718.0,309240.0,240.0,5760.0,6,5,0.8110219214571109
dbservice1_memory_1625178785,dbservice1,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,83.0,14940.0,16.0,384.0,2,1,0.9902183071620069
dbservice1_memory_1625178785,dbservice1,memory,database,0.25,anchored_service_random_rest,3,0,1,1,0.6,361.0,64980.0,72.0,1728.0,3,3,0.9574186135580237
dbservice1_memory_1625178785,dbservice1,memory,database,0.5,anchored_service_random_rest,5,0,0,1,0.2,1914.0,344520.0,240.0,5760.0,6,5,0.7764075067024129
redisservice2_memory_1625179202,redisservice2,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,157.0,28260.0,16.0,384.0,2,1,0.980489599084556
redisservice2_memory_1625179202,redisservice2,memory,cache,0.25,anchored_service_random_rest,2,0,1,1,0.8,604.0,108720.0,72.0,1728.0,3,3,0.9247701172912665
redisservice2_memory_1625179202,redisservice2,memory,cache,0.5,anchored_service_random_rest,3,0,1,1,0.6,1552.0,279360.0,240.0,5760.0,6,5,0.8057950876619396
mobservice2_qr_expired_1625179967,mobservice2,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,30.0,5400.0,8.0,192.0,1,1,0.9782952957615277
mobservice2_qr_expired_1625179967,mobservice2,qr_expired,mobile,0.25,anchored_service_random_rest,3,0,1,1,0.6,100.0,18000.0,24.0,576.0,1,3,0.927899394503959
mobservice2_qr_expired_1625179967,mobservice2,qr_expired,mobile,0.5,anchored_service_random_rest,5,0,0,1,0.2,344.0,61920.0,40.0,960.0,1,5,0.7559385188635305
mobservice1_qr_expired_1625182698,mobservice1,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,42.0,7560.0,8.0,192.0,1,1,0.9475862068965517
mobservice1_qr_expired_1625182698,mobservice1,qr_expired,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,156.0,28080.0,24.0,576.0,1,3,0.8062474645030426
mobservice1_qr_expired_1625182698,mobservice1,qr_expired,mobile,0.5,anchored_service_random_rest,4,0,0,1,0.4,208.0,37440.0,40.0,960.0,1,5,0.7403651115618661
dbservice1_memory_1625188889,dbservice1,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,86.0,15480.0,16.0,384.0,2,1,0.9903249414519907
dbservice1_memory_1625188889,dbservice1,memory,database,0.25,anchored_service_random_rest,3,0,1,1,0.6,394.0,70920.0,72.0,1728.0,3,3,0.9556937939110071
dbservice1_memory_1625188889,dbservice1,memory,database,0.5,anchored_service_random_rest,5,0,0,1,0.2,1240.0,223200.0,240.0,5760.0,6,5,0.8603629976580797
dbservice2_memory_1625193002,dbservice2,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,74.0,13320.0,16.0,384.0,2,1,0.9911845304720367
dbservice2_memory_1625193002,dbservice2,memory,database,0.25,anchored_service_random_rest,2,0,1,1,0.8,479.0,86220.0,72.0,1728.0,3,3,0.9434250646493496
dbservice2_memory_1625193002,dbservice2,memory,database,0.5,anchored_service_random_rest,3,0,1,1,0.6,1549.0,278820.0,240.0,5760.0,6,5,0.8169361997761395
mobservice1_memory_1625197067,mobservice1,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,90.0,16200.0,16.0,384.0,2,1,0.989813743338763
mobservice1_memory_1625197067,mobservice1,memory,mobile,0.25,anchored_service_random_rest,2,0,1,1,0.8,503.0,90540.0,72.0,1728.0,3,3,0.9433269699940298
mobservice1_memory_1625197067,mobservice1,memory,mobile,0.5,anchored_service_random_rest,5,0,0,1,0.2,2444.0,439920.0,240.0,5760.0,6,5,0.7262535655583646
mobservice2_memory_1625200044,mobservice2,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,89.0,16020.0,16.0,384.0,2,1,0.9902423355580142
mobservice2_memory_1625200044,mobservice2,memory,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,377.0,67860.0,48.0,1152.0,3,3,0.9589492844141475
mobservice2_memory_1625200044,mobservice2,memory,mobile,0.5,anchored_service_random_rest,3,0,1,1,0.6,2545.0,458100.0,144.0,3456.0,6,5,0.7254505871016097
logservice2_memory_1625204004,logservice2,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,66.0,11880.0,16.0,384.0,2,1,0.9923997917751172
logservice2_memory_1625204004,logservice2,memory,logging,0.25,anchored_service_random_rest,1,1,1,1,1.0,381.0,68580.0,48.0,1152.0,3,3,0.9567859002007882
logservice2_memory_1625204004,logservice2,memory,logging,0.5,anchored_service_random_rest,3,0,1,1,0.6,1211.0,217980.0,144.0,3456.0,6,5,0.8627723655834015
mobservice2_memory_1625205092,mobservice2,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,84.0,15120.0,16.0,384.0,2,1,0.9899431773955009
mobservice2_memory_1625205092,mobservice2,memory,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,334.0,60120.0,72.0,1728.0,3,3,0.959881684439947
mobservice2_memory_1625205092,mobservice2,memory,mobile,0.5,anchored_service_random_rest,1,1,1,1,1.0,1154.0,207720.0,96.0,2304.0,6,5,0.86376585973379
logservice1_memory_1625207751,logservice1,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,89.0,16020.0,0.0,0.0,2,1,0.9894782471626734
logservice1_memory_1625207751,logservice1,memory,logging,0.25,anchored_service_random_rest,2,0,1,1,0.8,512.0,92160.0,24.0,576.0,3,3,0.9390920554854981
logservice1_memory_1625207751,logservice1,memory,logging,0.5,anchored_service_random_rest,4,0,0,1,0.4,1625.0,292500.0,96.0,2304.0,6,5,0.8063761034047919
mobservice1_qr_expired_1625210087,mobservice1,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,42.0,7560.0,0.0,0.0,1,1,0.9722711267605634
mobservice1_qr_expired_1625210087,mobservice1,qr_expired,mobile,0.25,anchored_service_random_rest,3,0,1,1,0.6,143.0,25740.0,16.0,384.0,1,3,0.904181338028169
mobservice1_qr_expired_1625210087,mobservice1,qr_expired,mobile,0.5,anchored_service_random_rest,4,0,0,1,0.4,251.0,45180.0,24.0,576.0,1,5,0.8321742957746479
mobservice2_qr_expired_1625210422,mobservice2,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,38.0,6840.0,8.0,192.0,1,1,0.9473731477323754
mobservice2_qr_expired_1625210422,mobservice2,qr_expired,mobile,0.25,anchored_service_random_rest,3,0,1,1,0.6,112.0,20160.0,24.0,576.0,1,3,0.8448136506511001
mobservice2_qr_expired_1625210422,mobservice2,qr_expired,mobile,0.5,anchored_service_random_rest,3,0,1,1,0.6,304.0,54720.0,24.0,576.0,1,5,0.5861697350696004
webservice2_memory_1625212312,webservice2,memory,web,0.1,anchored_service_random_rest,1,1,1,1,1.0,70.0,12600.0,0.0,0.0,2,1,0.9918506732896115
webservice2_memory_1625212312,webservice2,memory,web,0.25,anchored_service_random_rest,3,0,1,1,0.6,451.0,81180.0,24.0,576.0,3,3,0.9471225115448795
webservice2_memory_1625212312,webservice2,memory,web,0.5,anchored_service_random_rest,3,0,1,1,0.6,1180.0,212400.0,96.0,2304.0,6,5,0.8611354728549808
logservice2_memory_1625221783,logservice2,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,69.0,12420.0,16.0,384.0,2,1,0.990904441224107
logservice2_memory_1625221783,logservice2,memory,logging,0.25,anchored_service_random_rest,1,1,1,1,1.0,324.0,58320.0,24.0,576.0,3,3,0.9581621345153866
logservice2_memory_1625221783,logservice2,memory,logging,0.5,anchored_service_random_rest,1,1,1,1,1.0,1048.0,188640.0,96.0,2304.0,6,5,0.8643593896513511
webservice1_memory_1625222072,webservice1,memory,web,0.1,anchored_service_random_rest,1,1,1,1,1.0,68.0,12240.0,0.0,0.0,2,1,0.9907842428623057
webservice1_memory_1625222072,webservice1,memory,web,0.25,anchored_service_random_rest,3,0,1,1,0.6,277.0,49860.0,48.0,1152.0,3,3,0.9615919768702565
webservice1_memory_1625222072,webservice1,memory,web,0.5,anchored_service_random_rest,3,0,1,1,0.6,1549.0,278820.0,48.0,1152.0,6,5,0.78920310805927
mobservice1_memory_1625224444,mobservice1,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,64.0,11520.0,0.0,0.0,2,1,0.9912766924125398
mobservice1_memory_1625224444,mobservice1,memory,mobile,0.25,anchored_service_random_rest,3,0,1,1,0.6,359.0,64620.0,48.0,1152.0,3,3,0.9501953657428441
mobservice1_memory_1625224444,mobservice1,memory,mobile,0.5,anchored_service_random_rest,3,0,1,1,0.6,1969.0,354420.0,48.0,1152.0,6,5,0.7307496592457974
dbservice1_memory_1625231603,dbservice1,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,78.0,14040.0,16.0,384.0,2,1,0.9905965186778799
dbservice1_memory_1625231603,dbservice1,memory,database,0.25,anchored_service_random_rest,3,0,1,1,0.6,354.0,63720.0,72.0,1728.0,3,3,0.9573322902405633
dbservice1_memory_1625231603,dbservice1,memory,database,0.5,anchored_service_random_rest,2,0,1,1,0.8,1656.0,298080.0,96.0,2304.0,6,5,0.8041697633483278
mobservice1_memory_1625232540,mobservice1,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,74.0,13320.0,0.0,0.0,2,1,0.9907680791782759
mobservice1_memory_1625232540,mobservice1,memory,mobile,0.25,anchored_service_random_rest,2,0,1,1,0.8,312.0,56160.0,24.0,576.0,3,3,0.9606770075269264
mobservice1_memory_1625232540,mobservice1,memory,mobile,0.5,anchored_service_random_rest,5,0,0,1,0.2,1483.0,266940.0,96.0,2304.0,6,5,0.8133904437143926
logservice1_memory_1625234459,logservice1,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,74.0,13320.0,0.0,0.0,2,1,0.990625395886998
logservice1_memory_1625234459,logservice1,memory,logging,0.25,anchored_service_random_rest,2,0,1,1,0.8,289.0,52020.0,24.0,576.0,3,3,0.9629829821375786
logservice1_memory_1625234459,logservice1,memory,logging,0.5,anchored_service_random_rest,5,0,0,1,0.2,1748.0,314640.0,144.0,3456.0,6,5,0.7761243190743634
mobservice2_memory_1625235821,mobservice2,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,50.0,9000.0,16.0,384.0,2,1,0.9919281585466556
mobservice2_memory_1625235821,mobservice2,memory,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,254.0,45720.0,48.0,1152.0,3,3,0.9596820809248555
mobservice2_memory_1625235821,mobservice2,memory,mobile,0.5,anchored_service_random_rest,1,1,1,1,1.0,824.0,148320.0,144.0,3456.0,6,5,0.8694467382328654
mobservice2_memory_1625240040,mobservice2,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,76.0,13680.0,16.0,384.0,2,1,0.9897147871873628
mobservice2_memory_1625240040,mobservice2,memory,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,291.0,52380.0,48.0,1152.0,3,3,0.9608512505484862
mobservice2_memory_1625240040,mobservice2,memory,mobile,0.5,anchored_service_random_rest,2,0,1,1,0.8,1808.0,325440.0,96.0,2304.0,6,5,0.7603159280386134
mobservice1_qr_expired_1625240727,mobservice1,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,31.0,5580.0,0.0,0.0,1,1,0.9497025419145484
mobservice1_qr_expired_1625240727,mobservice1,qr_expired,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,127.0,22860.0,0.0,0.0,1,3,0.7939426717144402
mobservice1_qr_expired_1625240727,mobservice1,qr_expired,mobile,0.5,anchored_service_random_rest,3,0,1,1,0.6,272.0,48960.0,16.0,384.0,1,5,0.5552190373174689
mobservice2_qr_expired_1625242846,mobservice2,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,36.0,6480.0,8.0,192.0,1,1,0.9693832599118942
mobservice2_qr_expired_1625242846,mobservice2,qr_expired,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,105.0,18900.0,16.0,384.0,1,3,0.9115088105726872
mobservice2_qr_expired_1625242846,mobservice2,qr_expired,mobile,0.5,anchored_service_random_rest,1,1,1,1,1.0,153.0,27540.0,16.0,384.0,1,5,0.8718612334801762
dbservice1_memory_1625243441,dbservice1,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,72.0,12960.0,16.0,384.0,2,1,0.9902451861923769
dbservice1_memory_1625243441,dbservice1,memory,database,0.25,anchored_service_random_rest,1,1,1,1,1.0,431.0,77580.0,24.0,576.0,3,3,0.942865915171718
dbservice1_memory_1625243441,dbservice1,memory,database,0.5,anchored_service_random_rest,2,0,1,1,0.8,1416.0,254880.0,96.0,2304.0,6,5,0.8119917540242994
mobservice1_memory_1625247576,mobservice1,memory,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,71.0,12780.0,0.0,0.0,2,1,0.9906930000873897
mobservice1_memory_1625247576,mobservice1,memory,mobile,0.25,anchored_service_random_rest,2,0,1,1,0.8,318.0,57240.0,24.0,576.0,3,3,0.9578956567333741
mobservice1_memory_1625247576,mobservice1,memory,mobile,0.5,anchored_service_random_rest,3,0,1,1,0.6,2024.0,364320.0,96.0,2304.0,6,5,0.7330070785633138
redisservice2_memory_1625250114,redisservice2,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,142.0,25560.0,16.0,384.0,2,1,0.9813941480206541
redisservice2_memory_1625250114,redisservice2,memory,cache,0.25,anchored_service_random_rest,2,0,1,1,0.8,374.0,67320.0,48.0,1152.0,3,3,0.950895008605852
redisservice2_memory_1625250114,redisservice2,memory,cache,0.5,anchored_service_random_rest,1,1,1,1,1.0,1954.0,351720.0,144.0,3456.0,6,5,0.7452839931153183
webservice1_file_move_1625256600,webservice1,file_move,web,0.1,anchored_service_random_rest,1,1,1,1,1.0,116.0,20880.0,0.0,0.0,2,1,0.984353925006744
webservice1_file_move_1625256600,webservice1,file_move,web,0.25,anchored_service_random_rest,1,1,1,1,1.0,403.0,72540.0,0.0,0.0,3,3,0.9456433773941192
webservice1_file_move_1625256600,webservice1,file_move,web,0.5,anchored_service_random_rest,1,1,1,1,1.0,1378.0,248040.0,0.0,0.0,6,5,0.8141354194766658
dbservice2_memory_1625257548,dbservice2,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,71.0,12780.0,0.0,0.0,2,1,0.9907528002083876
dbservice2_memory_1625257548,dbservice2,memory,database,0.25,anchored_service_random_rest,1,1,1,1,1.0,299.0,53820.0,0.0,0.0,3,3,0.9610575670747591
dbservice2_memory_1625257548,dbservice2,memory,database,0.5,anchored_service_random_rest,2,0,1,1,0.8,1422.0,255960.0,0.0,0.0,6,5,0.8147955196665798
redisservice2_memory_1625264600,redisservice2,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,147.0,26460.0,0.0,0.0,2,1,0.9826466768976508
redisservice2_memory_1625264600,redisservice2,memory,cache,0.25,anchored_service_random_rest,3,0,1,1,0.6,455.0,81900.0,0.0,0.0,3,3,0.9462873332546334
redisservice2_memory_1625264600,redisservice2,memory,cache,0.5,anchored_service_random_rest,4,0,0,1,0.4,2351.0,423180.0,0.0,0.0,6,5,0.7224648801794358
dbservice2_memory_1625269953,dbservice2,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,65.0,11700.0,0.0,0.0,2,1,0.9920905329763933
dbservice2_memory_1625269953,dbservice2,memory,database,0.25,anchored_service_random_rest,1,1,1,1,1.0,349.0,62820.0,0.0,0.0,3,3,0.9575322462886346
dbservice2_memory_1625269953,dbservice2,memory,database,0.5,anchored_service_random_rest,5,0,0,1,0.2,1119.0,201420.0,0.0,0.0,6,5,0.863835483085909
mobservice1_qr_expired_1625271564,mobservice1,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,35.0,6300.0,0.0,0.0,1,1,0.9511854951185496
mobservice1_qr_expired_1625271564,mobservice1,qr_expired,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,107.0,19260.0,0.0,0.0,1,3,0.8507670850767085
mobservice1_qr_expired_1625271564,mobservice1,qr_expired,mobile,0.5,anchored_service_random_rest,1,1,1,1,1.0,262.0,47160.0,0.0,0.0,1,5,0.6345885634588564
redisservice1_memory_1625272609,redisservice1,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,73.0,13140.0,0.0,0.0,2,1,0.991594703511802
redisservice1_memory_1625272609,redisservice1,memory,cache,0.25,anchored_service_random_rest,3,0,1,1,0.6,504.0,90720.0,0.0,0.0,3,3,0.9419689119170984
redisservice1_memory_1625272609,redisservice1,memory,cache,0.5,anchored_service_random_rest,2,0,1,1,0.8,1638.0,294840.0,0.0,0.0,6,5,0.81139896373057
mobservice2_qr_expired_1625275953,mobservice2,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,26.0,4680.0,0.0,0.0,1,1,0.9831824062095731
mobservice2_qr_expired_1625275953,mobservice2,qr_expired,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,95.0,17100.0,0.0,0.0,1,3,0.9385510996119016
mobservice2_qr_expired_1625275953,mobservice2,qr_expired,mobile,0.5,anchored_service_random_rest,1,1,1,1,1.0,173.0,31140.0,0.0,0.0,1,5,0.8880983182406209
logservice1_memory_1625285989,logservice1,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,84.0,15120.0,0.0,0.0,2,1,0.9906718489727929
logservice1_memory_1625285989,logservice1,memory,logging,0.25,anchored_service_random_rest,2,0,1,1,0.8,367.0,66060.0,0.0,0.0,3,3,0.9592448639644642
logservice1_memory_1625285989,logservice1,memory,logging,0.5,anchored_service_random_rest,2,0,1,1,0.8,1710.0,307800.0,0.0,0.0,6,5,0.810105496946141
mobservice1_qr_expired_1625296713,mobservice1,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,37.0,6660.0,7.0,168.0,1,1,0.9738511029411765
mobservice1_qr_expired_1625296713,mobservice1,qr_expired,mobile,0.25,anchored_service_random_rest,1,1,1,1,1.0,143.0,25740.0,22.0,528.0,1,3,0.8994025735294118
mobservice1_qr_expired_1625296713,mobservice1,qr_expired,mobile,0.5,anchored_service_random_rest,2,0,1,1,0.8,156.0,28080.0,24.0,576.0,1,5,0.8902573529411765
logservice1_memory_1625298536,logservice1,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,86.0,15480.0,0.0,0.0,2,1,0.9904164035511311
logservice1_memory_1625298536,logservice1,memory,logging,0.25,anchored_service_random_rest,3,0,1,1,0.6,516.0,92880.0,24.0,576.0,3,3,0.9421418223691542
logservice1_memory_1625298536,logservice1,memory,logging,0.5,anchored_service_random_rest,3,0,1,1,0.6,1936.0,348480.0,96.0,2304.0,6,5,0.7828312469819101
mobservice2_qr_expired_1625302666,mobservice2,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,24.0,4320.0,8.0,192.0,1,1,0.98135845314824
mobservice2_qr_expired_1625302666,mobservice2,qr_expired,mobile,0.25,anchored_service_random_rest,2,0,1,1,0.8,74.0,13320.0,16.0,384.0,1,3,0.9433812592959842
mobservice2_qr_expired_1625302666,mobservice2,qr_expired,mobile,0.5,anchored_service_random_rest,3,0,1,1,0.6,207.0,37260.0,24.0,576.0,1,5,0.8436787307882995
logservice2_memory_1625304365,logservice2,memory,logging,0.1,anchored_service_random_rest,1,1,1,1,1.0,70.0,12600.0,0.0,0.0,2,1,0.99244930245937
