case_id,root_service,fault_type,service_family,budget,policy,rank,top1,top3,top5,avg_at_5,trace_rows_kept,trace_bytes_kept,metric_samples_kept,metric_bytes_kept,minutes_kept,services_kept
dbservice1_memory_1625231603,dbservice1,memory,database,1.0,full,1,1,1,1,1.0,8463.0,1523340.0,440.0,10560.0,11,10
mobservice1_memory_1625232540,mobservice1,memory,mobile,1.0,full,6,0,0,0,0.0,7957.0,1432260.0,440.0,10560.0,11,10
logservice1_memory_1625234459,logservice1,memory,logging,1.0,full,10,0,0,0,0.0,7835.0,1410300.0,440.0,10560.0,11,10
mobservice2_memory_1625235821,mobservice2,memory,mobile,1.0,full,2,0,1,1,0.8,6400.0,1152000.0,440.0,10560.0,11,10
mobservice2_memory_1625240040,mobservice2,memory,mobile,1.0,full,2,0,1,1,0.8,7538.0,1356840.0,440.0,10560.0,11,10
mobservice1_qr_expired_1625240727,mobservice1,qr_expired,mobile,1.0,full,6,0,0,0,0.0,611.0,109980.0,40.0,960.0,1,10
mobservice2_qr_expired_1625242846,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1200.0,216000.0,80.0,1920.0,2,10
dbservice1_memory_1625243441,dbservice1,memory,database,1.0,full,2,0,1,1,0.8,7541.0,1357380.0,440.0,10560.0,11,10
mobservice1_memory_1625247576,mobservice1,memory,mobile,1.0,full,6,0,0,0,0.0,7570.0,1362600.0,440.0,10560.0,11,10
redisservice2_memory_1625250114,redisservice2,memory,cache,1.0,full,5,0,0,1,0.2,7688.0,1383840.0,440.0,10560.0,11,10
webservice1_file_move_1625256600,webservice1,file_move,web,1.0,full,1,1,1,1,1.0,7414.0,1334520.0,0.0,0.0,11,10
dbservice2_memory_1625257548,dbservice2,memory,database,1.0,full,6,0,0,0,0.0,7678.0,1382040.0,0.0,0.0,11,10
redisservice2_memory_1625264600,redisservice2,memory,cache,1.0,full,9,0,0,0,0.0,8471.0,1524780.0,0.0,0.0,11,10
dbservice2_memory_1625269953,dbservice2,memory,database,1.0,full,9,0,0,0,0.0,8218.0,1479240.0,0.0,0.0,11,10
mobservice1_qr_expired_1625271564,mobservice1,qr_expired,mobile,1.0,full,1,1,1,1,1.0,717.0,129060.0,0.0,0.0,1,10
redisservice1_memory_1625272609,redisservice1,memory,cache,1.0,full,5,0,0,1,0.2,8685.0,1563300.0,0.0,0.0,11,10
mobservice2_qr_expired_1625275953,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1546.0,278280.0,0.0,0.0,2,10
logservice1_memory_1625285989,logservice1,memory,logging,1.0,full,5,0,0,1,0.2,9005.0,1620900.0,0.0,0.0,11,10
mobservice1_qr_expired_1625296713,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,1440.0,259200.0,80.0,1920.0,2,10
logservice1_memory_1625298536,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,8915.0,1604700.0,440.0,10560.0,11,10
mobservice2_qr_expired_1625302666,mobservice2,qr_expired,mobile,1.0,full,1,1,1,1,1.0,1334.0,240120.0,80.0,1920.0,2,10
logservice2_memory_1625304365,logservice2,memory,logging,1.0,full,7,0,0,0,0.0,9212.0,1658160.0,440.0,10560.0,11,10
mobservice2_memory_1625305876,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,8910.0,1603800.0,440.0,10560.0,11,10
logservice1_memory_1625311435,logservice1,memory,logging,1.0,full,7,0,0,0,0.0,8967.0,1614060.0,440.0,10560.0,11,10
redisservice2_memory_1625320792,redisservice2,memory,cache,1.0,full,7,0,0,0,0.0,8362.0,1505160.0,440.0,10560.0,11,10
redisservice2_memory_1625324488,redisservice2,memory,cache,1.0,full,10,0,0,0,0.0,8003.0,1440540.0,616.0,14784.0,11,10
mobservice1_qr_expired_1625325200,mobservice1,qr_expired,mobile,1.0,full,7,0,0,0,0.0,531.0,95580.0,56.0,1344.0,1,10
webservice2_memory_1625325487,webservice2,memory,web,1.0,full,6,0,0,0,0.0,7100.0,1278000.0,616.0,14784.0,11,10
logservice2_memory_1625325873,logservice2,memory,logging,1.0,full,9,0,0,0,0.0,7799.0,1403820.0,616.0,14784.0,11,10
redisservice1_memory_1625332594,redisservice1,memory,cache,1.0,full,3,0,1,1,0.6,8287.0,1491660.0,616.0,14784.0,11,10
mobservice2_qr_expired_1625334978,mobservice2,qr_expired,mobile,1.0,full,4,0,0,1,0.4,770.0,138600.0,56.0,1344.0,1,10
mobservice1_memory_1625353753,mobservice1,memory,mobile,1.0,full,6,0,0,0,0.0,8659.0,1558620.0,616.0,14784.0,11,10
mobservice1_qr_expired_1625355663,mobservice1,qr_expired,mobile,1.0,full,6,0,0,0,0.0,607.0,109260.0,56.0,1344.0,1,10
dbservice2_memory_1625356783,dbservice2,memory,database,1.0,full,8,0,0,0,0.0,8690.0,1564200.0,616.0,14784.0,11,10
mobservice2_memory_1625359712,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,8072.0,1452960.0,616.0,14784.0,11,10
mobservice2_qr_expired_1625360218,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1494.0,268920.0,112.0,2688.0,2,10
logservice1_memory_1625360381,logservice1,memory,logging,1.0,full,1,1,1,1,1.0,8682.0,1562760.0,616.0,14784.0,11,10
webservice2_file_move_1625361000,webservice2,file_move,web,1.0,full,1,1,1,1,1.0,7999.0,1439820.0,616.0,14784.0,11,10
dbservice2_memory_1625363058,dbservice2,memory,database,1.0,full,8,0,0,0,0.0,8396.0,1511280.0,616.0,14784.0,11,10
webservice2_memory_1625367620,webservice2,memory,web,1.0,full,7,0,0,0,0.0,8518.0,1533240.0,616.0,14784.0,11,10
webservice1_file_move_1625371800,webservice1,file_move,web,1.0,full,1,1,1,1,1.0,7796.0,1403280.0,616.0,14784.0,11,10
webservice1_memory_1625373179,webservice1,memory,web,1.0,full,3,0,1,1,0.6,8797.0,1583460.0,616.0,14784.0,11,10
logservice2_memory_1625379370,logservice2,memory,logging,1.0,full,10,0,0,0,0.0,8408.0,1513440.0,352.0,8448.0,11,10
mobservice1_memory_1625379697,mobservice1,memory,mobile,1.0,full,4,0,0,1,0.4,8378.0,1508040.0,352.0,8448.0,11,10
webservice1_memory_1625380916,webservice1,memory,web,1.0,full,8,0,0,0,0.0,9029.0,1625220.0,352.0,8448.0,11,10
webservice2_memory_1625381030,webservice2,memory,web,1.0,full,4,0,0,1,0.4,8970.0,1614600.0,352.0,8448.0,11,10
mobservice1_qr_expired_1625383443,mobservice1,qr_expired,mobile,1.0,full,6,0,0,0,0.0,728.0,131040.0,32.0,768.0,1,10
dbservice1_memory_1625384013,dbservice1,memory,database,1.0,full,4,0,0,1,0.4,8438.0,1518840.0,352.0,8448.0,11,10
webservice2_file_move_1625386200,webservice2,file_move,web,1.0,full,2,0,1,1,0.8,7647.0,1376460.0,352.0,8448.0,11,10
mobservice2_qr_expired_1625390816,mobservice2,qr_expired,mobile,1.0,full,1,1,1,1,1.0,1577.0,283860.0,64.0,1536.0,2,10
logservice2_memory_1625396241,logservice2,memory,logging,1.0,full,8,0,0,0,0.0,8814.0,1586520.0,352.0,8448.0,11,10
webservice1_file_move_1625400601,webservice1,file_move,web,1.0,full,1,1,1,1,1.0,7470.0,1344600.0,352.0,8448.0,11,10
mobservice1_qr_expired_1625409300,mobservice1,qr_expired,mobile,1.0,full,9,0,0,0,0.0,796.0,143280.0,32.0,768.0,1,10
dbservice1_memory_1625411468,dbservice1,memory,database,1.0,full,1,1,1,1,1.0,8889.0,1600020.0,352.0,8448.0,11,10
webservice1_memory_1625415630,webservice1,memory,web,1.0,full,9,0,0,0,0.0,8836.0,1590480.0,352.0,8448.0,11,10
webservice2_memory_1625418006,webservice2,memory,web,1.0,full,4,0,0,1,0.4,8902.0,1602360.0,352.0,8448.0,11,10
dbservice1_memory_1625418705,dbservice1,memory,database,1.0,full,2,0,1,1,0.8,8219.0,1479420.0,352.0,8448.0,11,10
redisservice1_memory_1625420467,redisservice1,memory,cache,1.0,full,6,0,0,0,0.0,8556.0,1540080.0,352.0,8448.0,11,10
logservice2_memory_1625421899,logservice2,memory,logging,1.0,full,8,0,0,0,0.0,8639.0,1555020.0,352.0,8448.0,11,10
webservice2_memory_1625424557,webservice2,memory,web,1.0,full,3,0,1,1,0.6,8580.0,1544400.0,352.0,8448.0,11,10
mobservice2_qr_expired_1625425284,mobservice2,qr_expired,mobile,1.0,full,3,0,1,1,0.6,586.0,105480.0,32.0,768.0,1,10
logservice2_memory_1625425518,logservice2,memory,logging,1.0,full,9,0,0,0,0.0,8212.0,1478160.0,352.0,8448.0,11,10
mobservice1_qr_expired_1625436871,mobservice1,qr_expired,mobile,1.0,full,5,0,0,1,0.2,1541.0,277380.0,0.0,0.0,2,10
logservice1_memory_1625437325,logservice1,memory,logging,1.0,full,6,0,0,0,0.0,8913.0,1604340.0,0.0,0.0,11,10
redisservice1_memory_1625453062,redisservice1,memory,cache,1.0,full,10,0,0,0,0.0,7823.0,1408140.0,0.0,0.0,11,10
mobservice2_qr_expired_1625455022,mobservice2,qr_expired,mobile,1.0,full,1,1,1,1,1.0,690.0,124200.0,0.0,0.0,1,10
logservice1_memory_1625455375,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,7441.0,1339380.0,0.0,0.0,11,10
dbservice2_memory_1625459089,dbservice2,memory,database,1.0,full,6,0,0,0,0.0,8135.0,1464300.0,0.0,0.0,11,10
dbservice2_memory_1625463515,dbservice2,memory,database,1.0,full,6,0,0,0,0.0,8029.0,1445220.0,0.0,0.0,11,10
logservice2_memory_1625469878,logservice2,memory,logging,1.0,full,6,0,0,0,0.0,8039.0,1447020.0,60.0,1440.0,11,10
mobservice1_qr_expired_1625473216,mobservice1,qr_expired,mobile,1.0,full,9,0,0,0,0.0,691.0,124380.0,80.0,1920.0,1,10
redisservice1_memory_1625473678,redisservice1,memory,cache,1.0,full,6,0,0,0,0.0,8566.0,1541880.0,880.0,21120.0,11,10
logservice1_memory_1625474243,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,8404.0,1512720.0,880.0,21120.0,11,10
logservice2_memory_1625483091,logservice2,memory,logging,1.0,full,7,0,0,0,0.0,6820.0,1227600.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625489299,mobservice2,qr_expired,mobile,1.0,full,3,0,1,1,0.6,650.0,117000.0,80.0,1920.0,1,10
redisservice2_memory_1625493529,redisservice2,memory,cache,1.0,full,3,0,1,1,0.6,7872.0,1416960.0,880.0,21120.0,11,10
logservice1_memory_1625493602,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,7757.0,1396260.0,880.0,21120.0,11,10
webservice2_file_move_1625501400,webservice2,file_move,web,1.0,full,6,0,0,0,0.0,7071.0,1272780.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625505879,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,1259.0,226620.0,160.0,3840.0,2,10
logservice1_memory_1625506342,logservice1,memory,logging,1.0,full,7,0,0,0,0.0,7412.0,1334160.0,880.0,21120.0,11,10
webservice1_memory_1625506658,webservice1,memory,web,1.0,full,10,0,0,0,0.0,7637.0,1374660.0,880.0,21120.0,11,10
redisservice1_memory_1625508996,redisservice1,memory,cache,1.0,full,5,0,0,1,0.2,7394.0,1330920.0,880.0,21120.0,11,10
logservice2_memory_1625511359,logservice2,memory,logging,1.0,full,6,0,0,0,0.0,7550.0,1359000.0,880.0,21120.0,11,10
redisservice2_memory_1625512043,redisservice2,memory,cache,1.0,full,8,0,0,0,0.0,6836.0,1230480.0,880.0,21120.0,11,10
logservice2_memory_1625518598,logservice2,memory,logging,1.0,full,3,0,1,1,0.6,8411.0,1513980.0,880.0,21120.0,11,10
logservice1_memory_1625519722,logservice1,memory,logging,1.0,full,6,0,0,0,0.0,8760.0,1576800.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625521837,mobservice2,qr_expired,mobile,1.0,full,5,0,0,1,0.2,1369.0,246420.0,160.0,3840.0,2,10
webservice1_memory_1625522955,webservice1,memory,web,1.0,full,9,0,0,0,0.0,8050.0,1449000.0,880.0,21120.0,11,10
mobservice2_memory_1625527607,mobservice2,memory,mobile,1.0,full,2,0,1,1,0.8,8038.0,1446840.0,880.0,21120.0,11,10
logservice2_memory_1625530676,logservice2,memory,logging,1.0,full,4,0,0,1,0.4,4702.0,846360.0,880.0,21120.0,11,10
logservice2_memory_1625537669,logservice2,memory,logging,1.0,full,3,0,1,1,0.6,4933.0,887940.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625542705,mobservice1,qr_expired,mobile,1.0,full,5,0,0,1,0.2,374.0,67320.0,80.0,1920.0,1,10
webservice1_memory_1625546136,webservice1,memory,web,1.0,full,7,0,0,0,0.0,4872.0,876960.0,880.0,21120.0,11,10
mobservice2_memory_1625552888,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,4942.0,889560.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625553275,mobservice2,qr_expired,mobile,1.0,full,3,0,1,1,0.6,855.0,153900.0,160.0,3840.0,2,10
webservice2_file_move_1625559000,webservice2,file_move,web,1.0,full,5,0,0,1,0.2,4641.0,835380.0,880.0,21120.0,11,10
dbservice2_memory_1625564139,dbservice2,memory,database,1.0,full,1,1,1,1,1.0,4137.0,744660.0,880.0,21120.0,11,10
logservice2_memory_1625567926,logservice2,memory,logging,1.0,full,3,0,1,1,0.6,4687.0,843660.0,880.0,21120.0,11,10
logservice2_memory_1625572292,logservice2,memory,logging,1.0,full,10,0,0,0,0.0,4672.0,840960.0,880.0,21120.0,11,10
dbservice1_memory_1625578885,dbservice1,memory,database,1.0,full,10,0,0,0,0.0,4858.0,874440.0,880.0,21120.0,11,10
dbservice2_memory_1625579430,dbservice2,memory,database,1.0,full,2,0,1,1,0.8,4806.0,865080.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625580525,mobservice1,qr_expired,mobile,1.0,full,10,0,0,0,0.0,746.0,134280.0,160.0,3840.0,2,10
dbservice1_memory_1625582957,dbservice1,memory,database,1.0,full,8,0,0,0,0.0,4129.0,743220.0,880.0,21120.0,11,10
mobservice2_memory_1625584788,mobservice2,memory,mobile,1.0,full,8,0,0,0,0.0,4215.0,758700.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625586485,mobservice2,qr_expired,mobile,1.0,full,5,0,0,1,0.2,315.0,56700.0,80.0,1920.0,1,10
dbservice2_memory_1625587157,dbservice2,memory,database,1.0,full,10,0,0,0,0.0,3787.0,681660.0,880.0,21120.0,11,10
webservice2_file_move_1625587800,webservice2,file_move,web,1.0,full,3,0,1,1,0.6,3434.0,618120.0,880.0,21120.0,11,10
webservice1_memory_1625607930,webservice1,memory,web,1.0,full,4,0,0,1,0.4,3779.0,680220.0,880.0,21120.0,11,10
redisservice1_memory_1625609699,redisservice1,memory,cache,1.0,full,1,1,1,1,1.0,3869.0,696420.0,880.0,21120.0,11,10
webservice2_memory_1625614232,webservice2,memory,web,1.0,full,6,0,0,0,0.0,3636.0,654480.0,880.0,21120.0,11,10
logservice2_memory_1625617463,logservice2,memory,logging,1.0,full,7,0,0,0,0.0,3611.0,649980.0,880.0,21120.0,11,10
redisservice2_memory_1625620800,redisservice2,memory,cache,1.0,full,5,0,0,1,0.2,3588.0,645840.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625625195,mobservice1,qr_expired,mobile,1.0,full,8,0,0,0,0.0,293.0,52740.0,80.0,1920.0,1,10
logservice2_memory_1625630457,logservice2,memory,logging,1.0,full,9,0,0,0,0.0,3583.0,644940.0,880.0,21120.0,11,10
webservice1_file_move_1625631001,webservice1,file_move,web,1.0,full,2,0,1,1,0.8,3252.0,585360.0,880.0,21120.0,11,10
redisservice1_memory_1625631347,redisservice1,memory,cache,1.0,full,1,1,1,1,1.0,3481.0,626580.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625632041,mobservice2,qr_expired,mobile,1.0,full,5,0,0,1,0.2,314.0,56520.0,80.0,1920.0,1,10
dbservice2_memory_1625634388,dbservice2,memory,database,1.0,full,9,0,0,0,0.0,3607.0,649260.0,880.0,21120.0,11,10
dbservice1_memory_1625637896,dbservice1,memory,database,1.0,full,3,0,1,1,0.6,3624.0,652320.0,880.0,21120.0,11,10
logservice1_memory_1625642174,logservice1,memory,logging,1.0,full,7,0,0,0,0.0,3530.0,635400.0,880.0,21120.0,11,10
logservice2_memory_1625644104,logservice2,memory,logging,1.0,full,9,0,0,0,0.0,3683.0,662940.0,880.0,21120.0,11,10
webservice2_memory_1625649699,webservice2,memory,web,1.0,full,5,0,0,1,0.2,3119.0,561420.0,880.0,21120.0,11,10
dbservice2_memory_1625656892,dbservice2,memory,database,1.0,full,5,0,0,1,0.2,3364.0,605520.0,880.0,21120.0,11,10
webservice1_memory_1625662559,webservice1,memory,web,1.0,full,5,0,0,1,0.2,3536.0,636480.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625667731,mobservice1,qr_expired,mobile,1.0,full,7,0,0,0,0.0,260.0,46800.0,80.0,1920.0,1,10
mobservice1_memory_1625667742,mobservice1,memory,mobile,1.0,full,5,0,0,1,0.2,3170.0,570600.0,880.0,21120.0,11,10
dbservice2_memory_1625669580,dbservice2,memory,database,1.0,full,3,0,1,1,0.6,2904.0,522720.0,880.0,21120.0,11,10
dbservice1_memory_1625671282,dbservice1,memory,database,1.0,full,4,0,0,1,0.4,3208.0,577440.0,880.0,21120.0,11,10
logservice1_memory_1625673674,logservice1,memory,logging,1.0,full,9,0,0,0,0.0,3281.0,590580.0,880.0,21120.0,11,10
dbservice1_memory_1625675230,dbservice1,memory,database,1.0,full,6,0,0,0,0.0,3382.0,608760.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625675866,mobservice2,qr_expired,mobile,1.0,full,9,0,0,0,0.0,605.0,108900.0,160.0,3840.0,2,10
mobservice2_memory_1625676811,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,3308.0,595440.0,880.0,21120.0,11,10
dbservice1_memory_1625679820,dbservice1,memory,database,1.0,full,7,0,0,0,0.0,3180.0,572400.0,880.0,21120.0,11,10
mobservice2_memory_1625680798,mobservice2,memory,mobile,1.0,full,3,0,1,1,0.6,3124.0,562320.0,880.0,21120.0,11,10
redisservice2_memory_1625692590,redisservice2,memory,cache,1.0,full,5,0,0,1,0.2,3673.0,661140.0,880.0,21120.0,11,10
mobservice2_memory_1625692971,mobservice2,memory,mobile,1.0,full,8,0,0,0,0.0,3661.0,658980.0,880.0,21120.0,11,10
mobservice2_memory_1625697606,mobservice2,memory,mobile,1.0,full,8,0,0,0,0.0,3506.0,631080.0,880.0,21120.0,11,10
redisservice1_memory_1625699447,redisservice1,memory,cache,1.0,full,6,0,0,0,0.0,3701.0,666180.0,880.0,21120.0,11,10
mobservice1_memory_1625703099,mobservice1,memory,mobile,1.0,full,2,0,1,1,0.8,6125.0,1102500.0,880.0,21120.0,11,10
dbservice2_memory_1625704892,dbservice2,memory,database,1.0,full,7,0,0,0,0.0,5973.0,1075140.0,880.0,21120.0,11,10
webservice1_file_move_1625706600,webservice1,file_move,web,1.0,full,1,1,1,1,1.0,5109.0,919620.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625711646,mobservice1,qr_expired,mobile,1.0,full,10,0,0,0,0.0,411.0,73980.0,80.0,1920.0,1,10
dbservice2_memory_1625711897,dbservice2,memory,database,1.0,full,2,0,1,1,0.8,5361.0,964980.0,880.0,21120.0,11,10
logservice1_memory_1625715126,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,5431.0,977580.0,880.0,21120.0,11,10
webservice1_memory_1625715729,webservice1,memory,web,1.0,full,9,0,0,0,0.0,5313.0,956340.0,880.0,21120.0,11,10
dbservice2_memory_1625720058,dbservice2,memory,database,1.0,full,8,0,0,0,0.0,5575.0,1003500.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625722797,mobservice2,qr_expired,mobile,1.0,full,4,0,0,1,0.4,928.0,167040.0,160.0,3840.0,2,10
logservice2_memory_1625732122,logservice2,memory,logging,1.0,full,9,0,0,0,0.0,5851.0,1053180.0,880.0,21120.0,11,10
redisservice2_memory_1625733844,redisservice2,memory,cache,1.0,full,1,1,1,1,1.0,5748.0,1034640.0,880.0,21120.0,11,10
webservice2_memory_1625734162,webservice2,memory,web,1.0,full,9,0,0,0,0.0,5688.0,1023840.0,880.0,21120.0,11,10
mobservice1_memory_1625735045,mobservice1,memory,mobile,1.0,full,10,0,0,0,0.0,5475.0,985500.0,883.0,21192.0,11,10
logservice1_memory_1625737305,logservice1,memory,logging,1.0,full,4,0,0,1,0.4,4892.0,880560.0,880.0,21120.0,11,10
mobservice2_memory_1625738510,mobservice2,memory,mobile,1.0,full,2,0,1,1,0.8,4380.0,788400.0,880.0,21120.0,11,10
mobservice2_memory_1625742099,mobservice2,memory,mobile,1.0,full,8,0,0,0,0.0,5097.0,917460.0,880.0,21120.0,11,10
webservice1_memory_1625744233,webservice1,memory,web,1.0,full,7,0,0,0,0.0,4608.0,829440.0,880.0,21120.0,11,10
webservice2_memory_1625744497,webservice2,memory,web,1.0,full,4,0,0,1,0.4,4708.0,847440.0,880.0,21120.0,11,10
webservice2_memory_1625747511,webservice2,memory,web,1.0,full,5,0,0,1,0.2,5598.0,1007640.0,880.0,21120.0,11,10
redisservice2_memory_1625752669,redisservice2,memory,cache,1.0,full,8,0,0,0,0.0,5585.0,1005300.0,880.0,21120.0,11,10
logservice2_memory_1625756295,logservice2,memory,logging,1.0,full,6,0,0,0,0.0,5593.0,1006740.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625756698,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,933.0,167940.0,160.0,3840.0,2,10
redisservice2_memory_1625768486,redisservice2,memory,cache,1.0,full,8,0,0,0,0.0,5139.0,925020.0,880.0,21120.0,11,10
dbservice1_memory_1625768540,dbservice1,memory,database,1.0,full,8,0,0,0,0.0,5147.0,926460.0,880.0,21120.0,11,10
mobservice2_memory_1625771613,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,4369.0,786420.0,880.0,21120.0,11,10
webservice1_file_move_1625775000,webservice1,file_move,web,1.0,full,2,0,1,1,0.8,4302.0,774360.0,880.0,21120.0,11,10
webservice2_memory_1625777099,webservice2,memory,web,1.0,full,1,1,1,1,1.0,5106.0,919080.0,880.0,21120.0,11,10
webservice1_memory_1625777703,webservice1,memory,web,1.0,full,4,0,0,1,0.4,5105.0,918900.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625778458,mobservice2,qr_expired,mobile,1.0,full,1,1,1,1,1.0,993.0,178740.0,160.0,3840.0,2,10
dbservice2_memory_1625780540,dbservice2,memory,database,1.0,full,4,0,0,1,0.4,5304.0,954720.0,880.0,21120.0,11,10
redisservice2_memory_1625790000,redisservice2,memory,cache,1.0,full,1,1,1,1,1.0,5250.0,945000.0,880.0,21120.0,11,10
webservice2_file_move_1625793000,webservice2,file_move,web,1.0,full,1,1,1,1,1.0,4749.0,854820.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625794482,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,949.0,170820.0,160.0,3840.0,2,10
