case_id,root_service,fault_type,service_family,budget,policy,rank,top1,top3,top5,avg_at_5,trace_rows_kept,trace_bytes_kept,metric_samples_kept,metric_bytes_kept,minutes_kept,services_kept,full_trace_rows,full_trace_bytes,full_metric_samples,full_metric_bytes,full_minutes,full_services,combined_bytes_kept,full_combined_bytes,combined_reduction,trace_row_reduction,metric_sample_reduction,time_reduction,where_reduction
mobservice2_memory_1625157918,mobservice2,memory,mobile,1.0,full,8,0,0,0,0.0,8381.0,1508580.0,880.0,21120.0,11,10,8381.0,1508580.0,880.0,21120.0,11,10,1529700.0,1529700.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625165701,redisservice2,memory,cache,1.0,full,9,0,0,0,0.0,7902.0,1422360.0,880.0,21120.0,11,10,7902.0,1422360.0,880.0,21120.0,11,10,1443480.0,1443480.0,0.0,0.0,0.0,0.0,0.0
mobservice2_memory_1625168598,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,8374.0,1507320.0,880.0,21120.0,11,10,8374.0,1507320.0,880.0,21120.0,11,10,1528440.0,1528440.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625172320,logservice2,memory,logging,1.0,full,3,0,1,1,0.6,9514.0,1712520.0,880.0,21120.0,11,10,9514.0,1712520.0,880.0,21120.0,11,10,1733640.0,1733640.0,0.0,0.0,0.0,0.0,0.0
redisservice1_memory_1625174903,redisservice1,memory,cache,1.0,full,9,0,0,0,0.0,9274.0,1669320.0,880.0,21120.0,11,10,9274.0,1669320.0,880.0,21120.0,11,10,1690440.0,1690440.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625175011,redisservice2,memory,cache,1.0,full,5,0,0,1,0.2,9143.0,1645740.0,880.0,21120.0,11,10,9143.0,1645740.0,880.0,21120.0,11,10,1666860.0,1666860.0,0.0,0.0,0.0,0.0,0.0
dbservice1_memory_1625178785,dbservice1,memory,database,1.0,full,3,0,1,1,0.6,8586.0,1545480.0,880.0,21120.0,11,10,8586.0,1545480.0,880.0,21120.0,11,10,1566600.0,1566600.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625179202,redisservice2,memory,cache,1.0,full,4,0,0,1,0.4,8039.0,1447020.0,880.0,21120.0,11,10,8039.0,1447020.0,880.0,21120.0,11,10,1468140.0,1468140.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625179967,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1410.0,253800.0,160.0,3840.0,2,10,1410.0,253800.0,160.0,3840.0,2,10,257640.0,257640.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625182698,mobservice1,qr_expired,mobile,1.0,full,7,0,0,0,0.0,811.0,145980.0,80.0,1920.0,1,10,811.0,145980.0,80.0,1920.0,1,10,147900.0,147900.0,0.0,0.0,0.0,0.0,0.0
dbservice1_memory_1625188889,dbservice1,memory,database,1.0,full,10,0,0,0,0.0,8992.0,1618560.0,880.0,21120.0,11,10,8992.0,1618560.0,880.0,21120.0,11,10,1639680.0,1639680.0,0.0,0.0,0.0,0.0,0.0
dbservice2_memory_1625193002,dbservice2,memory,database,1.0,full,2,0,1,1,0.8,8519.0,1533420.0,880.0,21120.0,11,10,8519.0,1533420.0,880.0,21120.0,11,10,1554540.0,1554540.0,0.0,0.0,0.0,0.0,0.0
mobservice1_memory_1625197067,mobservice1,memory,mobile,1.0,full,4,0,0,1,0.4,8951.0,1611180.0,704.0,16896.0,11,10,8951.0,1611180.0,704.0,16896.0,11,10,1628076.0,1628076.0,0.0,0.0,0.0,0.0,0.0
mobservice2_memory_1625200044,mobservice2,memory,mobile,1.0,full,4,0,0,1,0.4,9281.0,1670580.0,440.0,10560.0,11,10,9281.0,1670580.0,440.0,10560.0,11,10,1681140.0,1681140.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625204004,logservice2,memory,logging,1.0,full,2,0,1,1,0.8,8906.0,1603080.0,440.0,10560.0,11,10,8906.0,1603080.0,440.0,10560.0,11,10,1613640.0,1613640.0,0.0,0.0,0.0,0.0,0.0
mobservice2_memory_1625205092,mobservice2,memory,mobile,1.0,full,5,0,0,1,0.2,8506.0,1531080.0,440.0,10560.0,11,10,8506.0,1531080.0,440.0,10560.0,11,10,1541640.0,1541640.0,0.0,0.0,0.0,0.0,0.0
logservice1_memory_1625207751,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,8400.0,1512000.0,440.0,10560.0,11,10,8400.0,1512000.0,440.0,10560.0,11,10,1522560.0,1522560.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625210087,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,1504.0,270720.0,80.0,1920.0,2,10,1504.0,270720.0,80.0,1920.0,2,10,272640.0,272640.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625210422,mobservice2,qr_expired,mobile,1.0,full,5,0,0,1,0.2,737.0,132660.0,40.0,960.0,1,10,737.0,132660.0,40.0,960.0,1,10,133620.0,133620.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625212312,webservice2,memory,web,1.0,full,8,0,0,0,0.0,8531.0,1535580.0,440.0,10560.0,11,10,8531.0,1535580.0,440.0,10560.0,11,10,1546140.0,1546140.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625221783,logservice2,memory,logging,1.0,full,2,0,1,1,0.8,7762.0,1397160.0,440.0,10560.0,11,10,7762.0,1397160.0,440.0,10560.0,11,10,1407720.0,1407720.0,0.0,0.0,0.0,0.0,0.0
webservice1_memory_1625222072,webservice1,memory,web,1.0,full,7,0,0,0,0.0,7320.0,1317600.0,440.0,10560.0,11,10,7320.0,1317600.0,440.0,10560.0,11,10,1328160.0,1328160.0,0.0,0.0,0.0,0.0,0.0
mobservice1_memory_1625224444,mobservice1,memory,mobile,1.0,full,9,0,0,0,0.0,7278.0,1310040.0,440.0,10560.0,11,10,7278.0,1310040.0,440.0,10560.0,11,10,1320600.0,1320600.0,0.0,0.0,0.0,0.0,0.0
dbservice1_memory_1625231603,dbservice1,memory,database,1.0,full,1,1,1,1,1.0,8463.0,1523340.0,440.0,10560.0,11,10,8463.0,1523340.0,440.0,10560.0,11,10,1533900.0,1533900.0,0.0,0.0,0.0,0.0,0.0
mobservice1_memory_1625232540,mobservice1,memory,mobile,1.0,full,6,0,0,0,0.0,7957.0,1432260.0,440.0,10560.0,11,10,7957.0,1432260.0,440.0,10560.0,11,10,1442820.0,1442820.0,0.0,0.0,0.0,0.0,0.0
logservice1_memory_1625234459,logservice1,memory,logging,1.0,full,10,0,0,0,0.0,7835.0,1410300.0,440.0,10560.0,11,10,7835.0,1410300.0,440.0,10560.0,11,10,1420860.0,1420860.0,0.0,0.0,0.0,0.0,0.0
mobservice2_memory_1625235821,mobservice2,memory,mobile,1.0,full,2,0,1,1,0.8,6400.0,1152000.0,440.0,10560.0,11,10,6400.0,1152000.0,440.0,10560.0,11,10,1162560.0,1162560.0,0.0,0.0,0.0,0.0,0.0
mobservice2_memory_1625240040,mobservice2,memory,mobile,1.0,full,2,0,1,1,0.8,7538.0,1356840.0,440.0,10560.0,11,10,7538.0,1356840.0,440.0,10560.0,11,10,1367400.0,1367400.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625240727,mobservice1,qr_expired,mobile,1.0,full,6,0,0,0,0.0,611.0,109980.0,40.0,960.0,1,10,611.0,109980.0,40.0,960.0,1,10,110940.0,110940.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625242846,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1200.0,216000.0,80.0,1920.0,2,10,1200.0,216000.0,80.0,1920.0,2,10,217920.0,217920.0,0.0,0.0,0.0,0.0,0.0
dbservice1_memory_1625243441,dbservice1,memory,database,1.0,full,2,0,1,1,0.8,7541.0,1357380.0,440.0,10560.0,11,10,7541.0,1357380.0,440.0,10560.0,11,10,1367940.0,1367940.0,0.0,0.0,0.0,0.0,0.0
mobservice1_memory_1625247576,mobservice1,memory,mobile,1.0,full,6,0,0,0,0.0,7570.0,1362600.0,440.0,10560.0,11,10,7570.0,1362600.0,440.0,10560.0,11,10,1373160.0,1373160.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625250114,redisservice2,memory,cache,1.0,full,5,0,0,1,0.2,7688.0,1383840.0,440.0,10560.0,11,10,7688.0,1383840.0,440.0,10560.0,11,10,1394400.0,1394400.0,0.0,0.0,0.0,0.0,0.0
webservice1_file_move_1625256600,webservice1,file_move,web,1.0,full,1,1,1,1,1.0,7414.0,1334520.0,0.0,0.0,11,10,7414.0,1334520.0,0.0,0.0,11,10,1334520.0,1334520.0,0.0,0.0,,0.0,0.0
dbservice2_memory_1625257548,dbservice2,memory,database,1.0,full,6,0,0,0,0.0,7678.0,1382040.0,0.0,0.0,11,10,7678.0,1382040.0,0.0,0.0,11,10,1382040.0,1382040.0,0.0,0.0,,0.0,0.0
redisservice2_memory_1625264600,redisservice2,memory,cache,1.0,full,9,0,0,0,0.0,8471.0,1524780.0,0.0,0.0,11,10,8471.0,1524780.0,0.0,0.0,11,10,1524780.0,1524780.0,0.0,0.0,,0.0,0.0
dbservice2_memory_1625269953,dbservice2,memory,database,1.0,full,9,0,0,0,0.0,8218.0,1479240.0,0.0,0.0,11,10,8218.0,1479240.0,0.0,0.0,11,10,1479240.0,1479240.0,0.0,0.0,,0.0,0.0
mobservice1_qr_expired_1625271564,mobservice1,qr_expired,mobile,1.0,full,1,1,1,1,1.0,717.0,129060.0,0.0,0.0,1,10,717.0,129060.0,0.0,0.0,1,10,129060.0,129060.0,0.0,0.0,,0.0,0.0
redisservice1_memory_1625272609,redisservice1,memory,cache,1.0,full,5,0,0,1,0.2,8685.0,1563300.0,0.0,0.0,11,10,8685.0,1563300.0,0.0,0.0,11,10,1563300.0,1563300.0,0.0,0.0,,0.0,0.0
mobservice2_qr_expired_1625275953,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1546.0,278280.0,0.0,0.0,2,10,1546.0,278280.0,0.0,0.0,2,10,278280.0,278280.0,0.0,0.0,,0.0,0.0
logservice1_memory_1625285989,logservice1,memory,logging,1.0,full,5,0,0,1,0.2,9005.0,1620900.0,0.0,0.0,11,10,9005.0,1620900.0,0.0,0.0,11,10,1620900.0,1620900.0,0.0,0.0,,0.0,0.0
mobservice1_qr_expired_1625296713,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,1440.0,259200.0,80.0,1920.0,2,10,1440.0,259200.0,80.0,1920.0,2,10,261120.0,261120.0,0.0,0.0,0.0,0.0,0.0
logservice1_memory_1625298536,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,8915.0,1604700.0,440.0,10560.0,11,10,8915.0,1604700.0,440.0,10560.0,11,10,1615260.0,1615260.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625302666,mobservice2,qr_expired,mobile,1.0,full,1,1,1,1,1.0,1334.0,240120.0,80.0,1920.0,2,10,1334.0,240120.0,80.0,1920.0,2,10,242040.0,242040.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625304365,logservice2,memory,logging,1.0,full,7,0,0,0,0.0,9212.0,1658160.0,440.0,10560.0,11,10,9212.0,1658160.0,440.0,10560.0,11,10,1668720.0,1668720.0,0.0,0.0,0.0,0.0,0.0
mobservice2_memory_1625305876,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,8910.0,1603800.0,440.0,10560.0,11,10,8910.0,1603800.0,440.0,10560.0,11,10,1614360.0,1614360.0,0.0,0.0,0.0,0.0,0.0
logservice1_memory_1625311435,logservice1,memory,logging,1.0,full,7,0,0,0,0.0,8967.0,1614060.0,440.0,10560.0,11,10,8967.0,1614060.0,440.0,10560.0,11,10,1624620.0,1624620.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625320792,redisservice2,memory,cache,1.0,full,7,0,0,0,0.0,8362.0,1505160.0,440.0,10560.0,11,10,8362.0,1505160.0,440.0,10560.0,11,10,1515720.0,1515720.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625324488,redisservice2,memory,cache,1.0,full,10,0,0,0,0.0,8003.0,1440540.0,616.0,14784.0,11,10,8003.0,1440540.0,616.0,14784.0,11,10,1455324.0,1455324.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625325200,mobservice1,qr_expired,mobile,1.0,full,7,0,0,0,0.0,531.0,95580.0,56.0,1344.0,1,10,531.0,95580.0,56.0,1344.0,1,10,96924.0,96924.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625325487,webservice2,memory,web,1.0,full,6,0,0,0,0.0,7100.0,1278000.0,616.0,14784.0,11,10,7100.0,1278000.0,616.0,14784.0,11,10,1292784.0,1292784.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625325873,logservice2,memory,logging,1.0,full,9,0,0,0,0.0,7799.0,1403820.0,616.0,14784.0,11,10,7799.0,1403820.0,616.0,14784.0,11,10,1418604.0,1418604.0,0.0,0.0,0.0,0.0,0.0
redisservice1_memory_1625332594,redisservice1,memory,cache,1.0,full,3,0,1,1,0.6,8287.0,1491660.0,616.0,14784.0,11,10,8287.0,1491660.0,616.0,14784.0,11,10,1506444.0,1506444.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625334978,mobservice2,qr_expired,mobile,1.0,full,4,0,0,1,0.4,770.0,138600.0,56.0,1344.0,1,10,770.0,138600.0,56.0,1344.0,1,10,139944.0,139944.0,0.0,0.0,0.0,0.0,0.0
mobservice1_memory_1625353753,mobservice1,memory,mobile,1.0,full,6,0,0,0,0.0,8659.0,1558620.0,616.0,14784.0,11,10,8659.0,1558620.0,616.0,14784.0,11,10,1573404.0,1573404.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625355663,mobservice1,qr_expired,mobile,1.0,full,6,0,0,0,0.0,607.0,109260.0,56.0,1344.0,1,10,607.0,109260.0,56.0,1344.0,1,10,110604.0,110604.0,0.0,0.0,0.0,0.0,0.0
dbservice2_memory_1625356783,dbservice2,memory,database,1.0,full,8,0,0,0,0.0,8690.0,1564200.0,616.0,14784.0,11,10,8690.0,1564200.0,616.0,14784.0,11,10,1578984.0,1578984.0,0.0,0.0,0.0,0.0,0.0
mobservice2_memory_1625359712,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,8072.0,1452960.0,616.0,14784.0,11,10,8072.0,1452960.0,616.0,14784.0,11,10,1467744.0,1467744.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625360218,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1494.0,268920.0,112.0,2688.0,2,10,1494.0,268920.0,112.0,2688.0,2,10,271608.0,271608.0,0.0,0.0,0.0,0.0,0.0
logservice1_memory_1625360381,logservice1,memory,logging,1.0,full,1,1,1,1,1.0,8682.0,1562760.0,616.0,14784.0,11,10,8682.0,1562760.0,616.0,14784.0,11,10,1577544.0,1577544.0,0.0,0.0,0.0,0.0,0.0
webservice2_file_move_1625361000,webservice2,file_move,web,1.0,full,1,1,1,1,1.0,7999.0,1439820.0,616.0,14784.0,11,10,7999.0,1439820.0,616.0,14784.0,11,10,1454604.0,1454604.0,0.0,0.0,0.0,0.0,0.0
dbservice2_memory_1625363058,dbservice2,memory,database,1.0,full,8,0,0,0,0.0,8396.0,1511280.0,616.0,14784.0,11,10,8396.0,1511280.0,616.0,14784.0,11,10,1526064.0,1526064.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625367620,webservice2,memory,web,1.0,full,7,0,0,0,0.0,8518.0,1533240.0,616.0,14784.0,11,10,8518.0,1533240.0,616.0,14784.0,11,10,1548024.0,1548024.0,0.0,0.0,0.0,0.0,0.0
webservice1_file_move_1625371800,webservice1,file_move,web,1.0,full,1,1,1,1,1.0,7796.0,1403280.0,616.0,14784.0,11,10,7796.0,1403280.0,616.0,14784.0,11,10,1418064.0,1418064.0,0.0,0.0,0.0,0.0,0.0
webservice1_memory_1625373179,webservice1,memory,web,1.0,full,3,0,1,1,0.6,8797.0,1583460.0,616.0,14784.0,11,10,8797.0,1583460.0,616.0,14784.0,11,10,1598244.0,1598244.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625379370,logservice2,memory,logging,1.0,full,10,0,0,0,0.0,8408.0,1513440.0,352.0,8448.0,11,10,8408.0,1513440.0,352.0,8448.0,11,10,1521888.0,1521888.0,0.0,0.0,0.0,0.0,0.0
mobservice1_memory_1625379697,mobservice1,memory,mobile,1.0,full,4,0,0,1,0.4,8378.0,1508040.0,352.0,8448.0,11,10,8378.0,1508040.0,352.0,8448.0,11,10,1516488.0,1516488.0,0.0,0.0,0.0,0.0,0.0
webservice1_memory_1625380916,webservice1,memory,web,1.0,full,8,0,0,0,0.0,9029.0,1625220.0,352.0,8448.0,11,10,9029.0,1625220.0,352.0,8448.0,11,10,1633668.0,1633668.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625381030,webservice2,memory,web,1.0,full,4,0,0,1,0.4,8970.0,1614600.0,352.0,8448.0,11,10,8970.0,1614600.0,352.0,8448.0,11,10,1623048.0,1623048.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625383443,mobservice1,qr_expired,mobile,1.0,full,6,0,0,0,0.0,728.0,131040.0,32.0,768.0,1,10,728.0,131040.0,32.0,768.0,1,10,131808.0,131808.0,0.0,0.0,0.0,0.0,0.0
dbservice1_memory_1625384013,dbservice1,memory,database,1.0,full,4,0,0,1,0.4,8438.0,1518840.0,352.0,8448.0,11,10,8438.0,1518840.0,352.0,8448.0,11,10,1527288.0,1527288.0,0.0,0.0,0.0,0.0,0.0
webservice2_file_move_1625386200,webservice2,file_move,web,1.0,full,2,0,1,1,0.8,7647.0,1376460.0,352.0,8448.0,11,10,7647.0,1376460.0,352.0,8448.0,11,10,1384908.0,1384908.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625390816,mobservice2,qr_expired,mobile,1.0,full,1,1,1,1,1.0,1577.0,283860.0,64.0,1536.0,2,10,1577.0,283860.0,64.0,1536.0,2,10,285396.0,285396.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625396241,logservice2,memory,logging,1.0,full,8,0,0,0,0.0,8814.0,1586520.0,352.0,8448.0,11,10,8814.0,1586520.0,352.0,8448.0,11,10,1594968.0,1594968.0,0.0,0.0,0.0,0.0,0.0
webservice1_file_move_1625400601,webservice1,file_move,web,1.0,full,1,1,1,1,1.0,7470.0,1344600.0,352.0,8448.0,11,10,7470.0,1344600.0,352.0,8448.0,11,10,1353048.0,1353048.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625409300,mobservice1,qr_expired,mobile,1.0,full,9,0,0,0,0.0,796.0,143280.0,32.0,768.0,1,10,796.0,143280.0,32.0,768.0,1,10,144048.0,144048.0,0.0,0.0,0.0,0.0,0.0
dbservice1_memory_1625411468,dbservice1,memory,database,1.0,full,1,1,1,1,1.0,8889.0,1600020.0,352.0,8448.0,11,10,8889.0,1600020.0,352.0,8448.0,11,10,1608468.0,1608468.0,0.0,0.0,0.0,0.0,0.0
webservice1_memory_1625415630,webservice1,memory,web,1.0,full,9,0,0,0,0.0,8836.0,1590480.0,352.0,8448.0,11,10,8836.0,1590480.0,352.0,8448.0,11,10,1598928.0,1598928.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625418006,webservice2,memory,web,1.0,full,4,0,0,1,0.4,8902.0,1602360.0,352.0,8448.0,11,10,8902.0,1602360.0,352.0,8448.0,11,10,1610808.0,1610808.0,0.0,0.0,0.0,0.0,0.0
dbservice1_memory_1625418705,dbservice1,memory,database,1.0,full,2,0,1,1,0.8,8219.0,1479420.0,352.0,8448.0,11,10,8219.0,1479420.0,352.0,8448.0,11,10,1487868.0,1487868.0,0.0,0.0,0.0,0.0,0.0
redisservice1_memory_1625420467,redisservice1,memory,cache,1.0,full,6,0,0,0,0.0,8556.0,1540080.0,352.0,8448.0,11,10,8556.0,1540080.0,352.0,8448.0,11,10,1548528.0,1548528.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625421899,logservice2,memory,logging,1.0,full,8,0,0,0,0.0,8639.0,1555020.0,352.0,8448.0,11,10,8639.0,1555020.0,352.0,8448.0,11,10,1563468.0,1563468.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625424557,webservice2,memory,web,1.0,full,3,0,1,1,0.6,8580.0,1544400.0,352.0,8448.0,11,10,8580.0,1544400.0,352.0,8448.0,11,10,1552848.0,1552848.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625425284,mobservice2,qr_expired,mobile,1.0,full,3,0,1,1,0.6,586.0,105480.0,32.0,768.0,1,10,586.0,105480.0,32.0,768.0,1,10,106248.0,106248.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625425518,logservice2,memory,logging,1.0,full,9,0,0,0,0.0,8212.0,1478160.0,352.0,8448.0,11,10,8212.0,1478160.0,352.0,8448.0,11,10,1486608.0,1486608.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625436871,mobservice1,qr_expired,mobile,1.0,full,5,0,0,1,0.2,1541.0,277380.0,0.0,0.0,2,10,1541.0,277380.0,0.0,0.0,2,10,277380.0,277380.0,0.0,0.0,,0.0,0.0
logservice1_memory_1625437325,logservice1,memory,logging,1.0,full,6,0,0,0,0.0,8913.0,1604340.0,0.0,0.0,11,10,8913.0,1604340.0,0.0,0.0,11,10,1604340.0,1604340.0,0.0,0.0,,0.0,0.0
redisservice1_memory_1625453062,redisservice1,memory,cache,1.0,full,10,0,0,0,0.0,7823.0,1408140.0,0.0,0.0,11,10,7823.0,1408140.0,0.0,0.0,11,10,1408140.0,1408140.0,0.0,0.0,,0.0,0.0
mobservice2_qr_expired_1625455022,mobservice2,qr_expired,mobile,1.0,full,1,1,1,1,1.0,690.0,124200.0,0.0,0.0,1,10,690.0,124200.0,0.0,0.0,1,10,124200.0,124200.0,0.0,0.0,,0.0,0.0
logservice1_memory_1625455375,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,7441.0,1339380.0,0.0,0.0,11,10,7441.0,1339380.0,0.0,0.0,11,10,1339380.0,1339380.0,0.0,0.0,,0.0,0.0
dbservice2_memory_1625459089,dbservice2,memory,database,1.0,full,6,0,0,0,0.0,8135.0,1464300.0,0.0,0.0,11,10,8135.0,1464300.0,0.0,0.0,11,10,1464300.0,1464300.0,0.0,0.0,,0.0,0.0
dbservice2_memory_1625463515,dbservice2,memory,database,1.0,full,6,0,0,0,0.0,8029.0,1445220.0,0.0,0.0,11,10,8029.0,1445220.0,0.0,0.0,11,10,1445220.0,1445220.0,0.0,0.0,,0.0,0.0
logservice2_memory_1625469878,logservice2,memory,logging,1.0,full,6,0,0,0,0.0,8039.0,1447020.0,60.0,1440.0,11,10,8039.0,1447020.0,60.0,1440.0,11,10,1448460.0,1448460.0,0.0,0.0,0.0,0.0,0.0
mobservice1_qr_expired_1625473216,mobservice1,qr_expired,mobile,1.0,full,9,0,0,0,0.0,691.0,124380.0,80.0,1920.0,1,10,691.0,124380.0,80.0,1920.0,1,10,126300.0,126300.0,0.0,0.0,0.0,0.0,0.0
redisservice1_memory_1625473678,redisservice1,memory,cache,1.0,full,6,0,0,0,0.0,8566.0,1541880.0,880.0,21120.0,11,10,8566.0,1541880.0,880.0,21120.0,11,10,1563000.0,1563000.0,0.0,0.0,0.0,0.0,0.0
logservice1_memory_1625474243,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,8404.0,1512720.0,880.0,21120.0,11,10,8404.0,1512720.0,880.0,21120.0,11,10,1533840.0,1533840.0,0.0,0.0,0.0,0.0,0.0
logservice2_memory_1625483091,logservice2,memory,logging,1.0,full,7,0,0,0,0.0,6820.0,1227600.0,880.0,21120.0,11,10,6820.0,1227600.0,880.0,21120.0,11,10,1248720.0,1248720.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625489299,mobservice2,qr_expired,mobile,1.0,full,3,0,1,1,0.6,650.0,117000.0,80.0,1920.0,1,10,650.0,117000.0,80.0,1920.0,1,10,118920.0,118920.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625493529,redisservice2,memory,cache,1.0,full,3,0,1,1,0.6,7872.0,1416960.0,880.0,21120.0,11,10,7872.0,1416960.0,880.0,21120.0,11,10,1438080.0,1438080.0,0.0,0.0,0.0,0.0,0.0
logservice1_memory_1625493602,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,7757.0,1396260.0,880.0,21120.0,11,10,7757.0,1396260.0,880.0,21120.0,11,10,1417380.0,1417380.0,0.0,0.0,0.0,0.0,0.0
webservice2_file_move_1625501400,webservice2,file_move,web,1.0,full,6,0,0,0,0.0,7071.0,1272780.0,880.0,21120.0,11,10,7071.0,1272780.0,880.0,21120.0,11,10,1293900.0,1293900.0,0.0,0.0,0.0,0.0,0.0
