case_id,root_service,fault_type,service_family,rank,top1,top3,top5,avg_at_5,top5_services,root_service_prob
logservice2_memory_1625204004,logservice2,memory,logging,4,0,0,1,0.4,"['dbservice2', 'webservice1', 'redisservice1', 'logservice2', 'dbservice1']",0.9759783638648538
mobservice2_memory_1625205092,mobservice2,memory,mobile,9,0,0,0,0.0,"['mobservice1', 'webservice2', 'dbservice1', 'logservice2', 'dbservice2']",1.0
logservice1_memory_1625207751,logservice1,memory,logging,9,0,0,0,0.0,"['mobservice2', 'redisservice1', 'dbservice2', 'dbservice1', 'mobservice1']",0.8242600604653613
mobservice1_qr_expired_1625210087,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'mobservice2', 'webservice1', 'logservice2', 'redisservice2']",1.0
mobservice2_qr_expired_1625210422,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'webservice2', 'logservice1', 'dbservice1']",1.0
webservice2_memory_1625212312,webservice2,memory,web,9,0,0,0,0.0,"['redisservice2', 'dbservice2', 'logservice1', 'logservice2', 'dbservice1']",0.7310585786300049
logservice2_memory_1625221783,logservice2,memory,logging,3,0,1,1,0.6,"['webservice2', 'dbservice2', 'logservice2', 'mobservice2', 'webservice1']",0.9735575183634734
webservice1_memory_1625222072,webservice1,memory,web,7,0,0,0,0.0,"['logservice2', 'logservice1', 'dbservice2', 'webservice2', 'dbservice1']",0.938565585243842
mobservice1_memory_1625224444,mobservice1,memory,mobile,9,0,0,0,0.0,"['mobservice2', 'redisservice2', 'dbservice2', 'webservice1', 'logservice2']",1.0
dbservice1_memory_1625231603,dbservice1,memory,database,3,0,1,1,0.6,"['mobservice1', 'webservice2', 'dbservice1', 'logservice1', 'logservice2']",0.9987013899052335
mobservice1_memory_1625232540,mobservice1,memory,mobile,8,0,0,0,0.0,"['logservice1', 'dbservice2', 'dbservice1', 'mobservice2', 'webservice2']",0.8896115600781862
logservice1_memory_1625234459,logservice1,memory,logging,8,0,0,0,0.0,"['webservice2', 'mobservice1', 'mobservice2', 'redisservice1', 'redisservice2']",0.8411308951190849
mobservice2_memory_1625235821,mobservice2,memory,mobile,9,0,0,0,0.0,"['mobservice1', 'redisservice2', 'logservice1', 'dbservice2', 'dbservice1']",1.0
mobservice2_memory_1625240040,mobservice2,memory,mobile,10,0,0,0,0.0,"['dbservice1', 'webservice2', 'mobservice1', 'redisservice2', 'dbservice2']",0.9614399824040037
mobservice1_qr_expired_1625240727,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice1', 'webservice2', 'dbservice2', 'redisservice1']",1.0
mobservice2_qr_expired_1625242846,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['dbservice2', 'mobservice2', 'dbservice1', 'logservice2', 'redisservice2']",0.9998857403814405
dbservice1_memory_1625243441,dbservice1,memory,database,5,0,0,1,0.2,"['mobservice2', 'webservice1', 'webservice2', 'redisservice1', 'dbservice1']",0.9820137900378912
mobservice1_memory_1625247576,mobservice1,memory,mobile,8,0,0,0,0.0,"['logservice1', 'logservice2', 'dbservice1', 'redisservice2', 'dbservice2']",1.0
redisservice2_memory_1625250114,redisservice2,memory,cache,5,0,0,1,0.2,"['mobservice2', 'mobservice1', 'dbservice2', 'logservice2', 'redisservice2']",0.9536019321710182
webservice1_file_move_1625256600,webservice1,file_move,web,1,1,1,1,1.0,"['webservice1', 'webservice2', 'mobservice1', 'redisservice2', 'mobservice2']",0.9999999999998457
dbservice2_memory_1625257548,dbservice2,memory,database,4,0,0,1,0.4,"['dbservice1', 'logservice1', 'logservice2', 'dbservice2', 'webservice2']",0.9999988159656699
redisservice2_memory_1625264600,redisservice2,memory,cache,7,0,0,0,0.0,"['dbservice2', 'mobservice1', 'logservice2', 'logservice1', 'mobservice2']",0.8807970779778823
dbservice2_memory_1625269953,dbservice2,memory,database,8,0,0,0,0.0,"['mobservice2', 'dbservice1', 'webservice1', 'redisservice2', 'mobservice1']",0.8084383351025688
mobservice1_qr_expired_1625271564,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice2', 'redisservice1', 'redisservice2', 'mobservice2']",1.0
redisservice1_memory_1625272609,redisservice1,memory,cache,9,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice2', 'logservice2', 'mobservice1']",0.830638099216893
mobservice2_qr_expired_1625275953,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'dbservice1', 'redisservice1', 'webservice2', 'mobservice1']",1.0
logservice1_memory_1625285989,logservice1,memory,logging,5,0,0,1,0.2,"['redisservice1', 'dbservice1', 'mobservice1', 'webservice2', 'logservice1']",0.9366218086122763
mobservice1_qr_expired_1625296713,mobservice1,qr_expired,mobile,7,0,0,0,0.0,"['dbservice2', 'webservice2', 'redisservice1', 'webservice1', 'logservice2']",0.9594062575958766
logservice1_memory_1625298536,logservice1,memory,logging,8,0,0,0,0.0,"['dbservice1', 'webservice1', 'mobservice1', 'redisservice1', 'webservice2']",0.7878374222985496
mobservice2_qr_expired_1625302666,mobservice2,qr_expired,mobile,3,0,1,1,0.6,"['logservice2', 'mobservice1', 'mobservice2', 'webservice1', 'webservice2']",1.0
logservice2_memory_1625304365,logservice2,memory,logging,2,0,1,1,0.8,"['dbservice2', 'logservice2', 'mobservice2', 'webservice1', 'logservice1']",0.9933071490757153
mobservice2_memory_1625305876,mobservice2,memory,mobile,2,0,1,1,0.8,"['mobservice1', 'mobservice2', 'webservice2', 'redisservice1', 'dbservice1']",1.0
logservice1_memory_1625311435,logservice1,memory,logging,2,0,1,1,0.8,"['redisservice1', 'logservice1', 'mobservice1', 'dbservice1', 'dbservice2']",0.9938725569592775
redisservice2_memory_1625320792,redisservice2,memory,cache,7,0,0,0,0.0,"['mobservice1', 'webservice1', 'redisservice1', 'dbservice1', 'mobservice2']",0.8807970779778823
redisservice2_memory_1625324488,redisservice2,memory,cache,7,0,0,0,0.0,"['mobservice2', 'mobservice1', 'webservice2', 'logservice2', 'dbservice2']",0.973865448138947
mobservice1_qr_expired_1625325200,mobservice1,qr_expired,mobile,5,0,0,1,0.2,"['dbservice1', 'dbservice2', 'logservice1', 'logservice2', 'mobservice1']",1.0
webservice2_memory_1625325487,webservice2,memory,web,5,0,0,1,0.2,"['mobservice2', 'mobservice1', 'redisservice2', 'redisservice1', 'webservice2']",0.8949150438145642
logservice2_memory_1625325873,logservice2,memory,logging,9,0,0,0,0.0,"['mobservice1', 'redisservice2', 'dbservice2', 'webservice2', 'mobservice2']",0.8807970779778823
redisservice1_memory_1625332594,redisservice1,memory,cache,1,1,1,1,1.0,"['redisservice1', 'webservice1', 'webservice2', 'mobservice1', 'dbservice2']",0.9949783003176762
mobservice2_qr_expired_1625334978,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['dbservice1', 'mobservice2', 'webservice1', 'logservice1', 'logservice2']",1.0
mobservice1_memory_1625353753,mobservice1,memory,mobile,4,0,0,1,0.4,"['dbservice1', 'dbservice2', 'logservice1', 'mobservice1', 'webservice2']",0.9697820338672689
mobservice1_qr_expired_1625355663,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice1', 'webservice2', 'redisservice1', 'redisservice2']",1.0
dbservice2_memory_1625356783,dbservice2,memory,database,1,1,1,1,1.0,"['dbservice2', 'webservice2', 'mobservice1', 'redisservice2', 'redisservice1']",0.9541843108123361
mobservice2_memory_1625359712,mobservice2,memory,mobile,1,1,1,1,1.0,"['mobservice2', 'logservice2', 'dbservice1', 'logservice1', 'webservice2']",1.0
mobservice2_qr_expired_1625360218,mobservice2,qr_expired,mobile,4,0,0,1,0.4,"['redisservice1', 'mobservice1', 'webservice2', 'mobservice2', 'dbservice1']",0.9989879217943445
logservice1_memory_1625360381,logservice1,memory,logging,3,0,1,1,0.6,"['webservice1', 'redisservice1', 'logservice1', 'webservice2', 'mobservice1']",0.965774528054066
webservice2_file_move_1625361000,webservice2,file_move,web,2,0,1,1,0.8,"['mobservice1', 'webservice2', 'webservice1', 'logservice1', 'redisservice1']",0.9999999999999432
dbservice2_memory_1625363058,dbservice2,memory,database,9,0,0,0,0.0,"['webservice1', 'mobservice2', 'mobservice1', 'redisservice1', 'logservice1']",0.7827684075837648
webservice2_memory_1625367620,webservice2,memory,web,5,0,0,1,0.2,"['webservice1', 'dbservice1', 'mobservice2', 'redisservice1', 'webservice2']",0.9805888246514988
webservice1_file_move_1625371800,webservice1,file_move,web,1,1,1,1,1.0,"['webservice1', 'webservice2', 'mobservice2', 'logservice1', 'dbservice2']",0.9999999999999791
webservice1_memory_1625373179,webservice1,memory,web,2,0,1,1,0.8,"['mobservice2', 'webservice1', 'dbservice1', 'redisservice1', 'logservice1']",0.9999999193361245
logservice2_memory_1625379370,logservice2,memory,logging,9,0,0,0,0.0,"['webservice2', 'redisservice1', 'mobservice2', 'dbservice1', 'mobservice1']",0.7692902067977752
mobservice1_memory_1625379697,mobservice1,memory,mobile,8,0,0,0,0.0,"['mobservice2', 'dbservice2', 'webservice1', 'dbservice1', 'redisservice2']",0.9248900029791859
webservice1_memory_1625380916,webservice1,memory,web,10,0,0,0,0.0,"['dbservice2', 'logservice1', 'mobservice2', 'webservice2', 'logservice2']",0.7685247834990175
webservice2_memory_1625381030,webservice2,memory,web,2,0,1,1,0.8,"['mobservice2', 'webservice2', 'dbservice1', 'logservice1', 'logservice2']",0.9999593483802574
mobservice1_qr_expired_1625383443,mobservice1,qr_expired,mobile,2,0,1,1,0.8,"['webservice1', 'mobservice1', 'dbservice2', 'logservice2', 'redisservice1']",0.9999999999464138
dbservice1_memory_1625384013,dbservice1,memory,database,10,0,0,0,0.0,"['mobservice1', 'webservice1', 'webservice2', 'logservice1', 'redisservice1']",0.9877992029966588
webservice2_file_move_1625386200,webservice2,file_move,web,1,1,1,1,1.0,"['webservice2', 'dbservice1', 'webservice1', 'mobservice2', 'mobservice1']",1.0
mobservice2_qr_expired_1625390816,mobservice2,qr_expired,mobile,3,0,1,1,0.6,"['webservice1', 'logservice1', 'mobservice2', 'dbservice1', 'webservice2']",0.9995812333155665
logservice2_memory_1625396241,logservice2,memory,logging,5,0,0,1,0.2,"['webservice2', 'mobservice2', 'dbservice2', 'redisservice2', 'logservice2']",0.8807970779778823
webservice1_file_move_1625400601,webservice1,file_move,web,2,0,1,1,0.8,"['mobservice1', 'webservice1', 'dbservice2', 'logservice2', 'redisservice1']",0.9999999999999432
mobservice1_qr_expired_1625409300,mobservice1,qr_expired,mobile,6,0,0,0,0.0,"['redisservice1', 'dbservice2', 'logservice1', 'logservice2', 'webservice1']",0.9975273768433653
dbservice1_memory_1625411468,dbservice1,memory,database,4,0,0,1,0.4,"['webservice2', 'dbservice2', 'mobservice2', 'dbservice1', 'mobservice1']",0.95367914434148
webservice1_memory_1625415630,webservice1,memory,web,2,0,1,1,0.8,"['redisservice1', 'webservice1', 'dbservice1', 'mobservice2', 'redisservice2']",0.9765950083977093
webservice2_memory_1625418006,webservice2,memory,web,7,0,0,0,0.0,"['mobservice1', 'webservice1', 'logservice1', 'dbservice2', 'dbservice1']",0.9982285182423433
dbservice1_memory_1625418705,dbservice1,memory,database,10,0,0,0,0.0,"['mobservice1', 'mobservice2', 'webservice1', 'webservice2', 'dbservice2']",0.9999999999999987
redisservice1_memory_1625420467,redisservice1,memory,cache,8,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice1', 'mobservice1', 'logservice2']",0.862095000265255
logservice2_memory_1625421899,logservice2,memory,logging,10,0,0,0,0.0,"['mobservice1', 'webservice1', 'webservice2', 'logservice1', 'mobservice2']",0.7970246778624621
webservice2_memory_1625424557,webservice2,memory,web,3,0,1,1,0.6,"['dbservice1', 'mobservice1', 'webservice2', 'logservice1', 'redisservice2']",0.9999992800086229
mobservice2_qr_expired_1625425284,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'webservice2', 'logservice1', 'dbservice2']",1.0
logservice2_memory_1625425518,logservice2,memory,logging,8,0,0,0,0.0,"['mobservice2', 'webservice1', 'mobservice1', 'webservice2', 'dbservice1']",0.9375631497450047
mobservice1_qr_expired_1625436871,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice1', 'webservice2', 'mobservice2', 'redisservice2']",1.0
logservice1_memory_1625437325,logservice1,memory,logging,4,0,0,1,0.4,"['dbservice2', 'mobservice1', 'webservice2', 'logservice1', 'redisservice2']",0.935030830871336
redisservice1_memory_1625453062,redisservice1,memory,cache,8,0,0,0,0.0,"['webservice1', 'dbservice1', 'logservice2', 'logservice1', 'mobservice2']",0.8807970779778823
mobservice2_qr_expired_1625455022,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'redisservice2', 'mobservice1', 'dbservice2']",1.0
logservice1_memory_1625455375,logservice1,memory,logging,6,0,0,0,0.0,"['mobservice2', 'webservice2', 'dbservice2', 'dbservice1', 'mobservice1']",0.9182833962247683
dbservice2_memory_1625459089,dbservice2,memory,database,6,0,0,0,0.0,"['webservice2', 'mobservice2', 'webservice1', 'logservice2', 'mobservice1']",0.8807970779778823
dbservice2_memory_1625463515,dbservice2,memory,database,3,0,1,1,0.6,"['mobservice1', 'webservice2', 'dbservice2', 'dbservice1', 'logservice2']",0.999958847520613
logservice2_memory_1625469878,logservice2,memory,logging,8,0,0,0,0.0,"['dbservice2', 'mobservice1', 'redisservice2', 'mobservice2', 'dbservice1']",0.8964154536590736
mobservice1_qr_expired_1625473216,mobservice1,qr_expired,mobile,2,0,1,1,0.8,"['dbservice1', 'mobservice1', 'webservice2', 'logservice2', 'logservice1']",1.0
redisservice1_memory_1625473678,redisservice1,memory,cache,1,1,1,1,1.0,"['redisservice1', 'mobservice2', 'logservice1', 'dbservice1', 'redisservice2']",0.9828611965686461
logservice1_memory_1625474243,logservice1,memory,logging,6,0,0,0,0.0,"['dbservice1', 'webservice1', 'mobservice2', 'redisservice1', 'logservice2']",0.9800300178513057
logservice2_memory_1625483091,logservice2,memory,logging,3,0,1,1,0.6,"['dbservice1', 'logservice1', 'logservice2', 'dbservice2', 'mobservice2']",0.9878947267362113
mobservice2_qr_expired_1625489299,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['dbservice2', 'mobservice2', 'webservice1', 'webservice2', 'redisservice1']",1.0
redisservice2_memory_1625493529,redisservice2,memory,cache,4,0,0,1,0.4,"['webservice2', 'mobservice2', 'webservice1', 'redisservice2', 'dbservice2']",0.9995224109234857
logservice1_memory_1625493602,logservice1,memory,logging,7,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice1', 'webservice2', 'redisservice2']",0.9603829828912864
webservice2_file_move_1625501400,webservice2,file_move,web,1,1,1,1,1.0,"['webservice2', 'mobservice2', 'mobservice1', 'dbservice1', 'webservice1']",0.9999952149055051
mobservice1_qr_expired_1625505879,mobservice1,qr_expired,mobile,8,0,0,0,0.0,"['logservice2', 'mobservice2', 'dbservice1', 'redisservice1', 'dbservice2']",0.9967739320728508
logservice1_memory_1625506342,logservice1,memory,logging,7,0,0,0,0.0,"['redisservice1', 'webservice1', 'mobservice2', 'webservice2', 'dbservice2']",0.930837151260577
webservice1_memory_1625506658,webservice1,memory,web,9,0,0,0,0.0,"['dbservice1', 'redisservice2', 'dbservice2', 'logservice1', 'mobservice2']",0.8156861274710093
redisservice1_memory_1625508996,redisservice1,memory,cache,5,0,0,1,0.2,"['logservice2', 'mobservice1', 'mobservice2', 'webservice1', 'redisservice1']",0.9705222771430472
logservice2_memory_1625511359,logservice2,memory,logging,8,0,0,0,0.0,"['mobservice1', 'webservice1', 'dbservice1', 'webservice2', 'redisservice2']",0.9660563169818845
redisservice2_memory_1625512043,redisservice2,memory,cache,9,0,0,0,0.0,"['dbservice2', 'webservice2', 'mobservice1', 'logservice1', 'webservice1']",0.9416834737798225
logservice2_memory_1625518598,logservice2,memory,logging,4,0,0,1,0.4,"['mobservice2', 'webservice2', 'logservice1', 'logservice2', 'dbservice1']",0.9890130573694068
logservice1_memory_1625519722,logservice1,memory,logging,5,0,0,1,0.2,"['mobservice1', 'mobservice2', 'redisservice1', 'logservice2', 'logservice1']",0.9397313017105424
mobservice2_qr_expired_1625521837,mobservice2,qr_expired,mobile,9,0,0,0,0.0,"['dbservice2', 'mobservice1', 'redisservice2', 'webservice2', 'logservice1']",1.0
webservice1_memory_1625522955,webservice1,memory,web,7,0,0,0,0.0,"['webservice2', 'dbservice2', 'redisservice1', 'logservice1', 'logservice2']",0.9922872884870879
mobservice2_memory_1625527607,mobservice2,memory,mobile,3,0,1,1,0.6,"['mobservice1', 'webservice2', 'mobservice2', 'webservice1', 'redisservice2']",0.9780312013095578
logservice2_memory_1625530676,logservice2,memory,logging,10,0,0,0,0.0,"['dbservice2', 'mobservice1', 'webservice1', 'logservice1', 'redisservice2']",0.9743896327277406
logservice2_memory_1625537669,logservice2,memory,logging,10,0,0,0,0.0,"['dbservice2', 'webservice1', 'mobservice1', 'redisservice1', 'dbservice1']",0.9769110733934111
mobservice1_qr_expired_1625542705,mobservice1,qr_expired,mobile,6,0,0,0,0.0,"['dbservice2', 'redisservice2', 'webservice1', 'redisservice1', 'dbservice1']",0.5064159563815771
webservice1_memory_1625546136,webservice1,memory,web,1,1,1,1,1.0,"['webservice1', 'dbservice2', 'redisservice1', 'logservice1', 'logservice2']",0.9990538214522428
mobservice2_memory_1625552888,mobservice2,memory,mobile,10,0,0,0,0.0,"['webservice1', 'redisservice1', 'dbservice2', 'mobservice1', 'logservice1']",0.9999999990074753
mobservice2_qr_expired_1625553275,mobservice2,qr_expired,mobile,6,0,0,0,0.0,"['logservice2', 'redisservice2', 'logservice1', 'dbservice2', 'redisservice1']",0.9852259683064537
webservice2_file_move_1625559000,webservice2,file_move,web,7,0,0,0,0.0,"['dbservice1', 'webservice1', 'dbservice2', 'redisservice1', 'logservice2']",0.8617404789965561
dbservice2_memory_1625564139,dbservice2,memory,database,9,0,0,0,0.0,"['redisservice1', 'mobservice1', 'webservice1', 'redisservice2', 'mobservice2']",0.9864607350307479
logservice2_memory_1625567926,logservice2,memory,logging,1,1,1,1,1.0,"['logservice2', 'redisservice2', 'redisservice1', 'mobservice2', 'dbservice1']",0.991912796392015
logservice2_memory_1625572292,logservice2,memory,logging,9,0,0,0,0.0,"['mobservice1', 'redisservice2', 'dbservice1', 'dbservice2', 'logservice1']",0.7940097218979683
dbservice1_memory_1625578885,dbservice1,memory,database,8,0,0,0,0.0,"['logservice1', 'webservice1', 'redisservice2', 'logservice2', 'dbservice2']",0.8115940650032042
dbservice2_memory_1625579430,dbservice2,memory,database,3,0,1,1,0.6,"['redisservice2', 'logservice1', 'dbservice2', 'logservice2', 'webservice1']",0.9620133139326279
mobservice1_qr_expired_1625580525,mobservice1,qr_expired,mobile,6,0,0,0,0.0,"['dbservice1', 'mobservice2', 'webservice1', 'redisservice1', 'logservice2']",0.9675356757248014
dbservice1_memory_1625582957,dbservice1,memory,database,7,0,0,0,0.0,"['mobservice2', 'redisservice1', 'redisservice2', 'logservice1', 'webservice1']",0.8818893903814005
mobservice2_memory_1625584788,mobservice2,memory,mobile,2,0,1,1,0.8,"['webservice1', 'mobservice2', 'redisservice2', 'webservice2', 'mobservice1']",0.9928284078814942
mobservice2_qr_expired_1625586485,mobservice2,qr_expired,mobile,5,0,0,1,0.2,"['webservice1', 'redisservice1', 'dbservice2', 'redisservice2', 'mobservice2']",0.5081058928061427
dbservice2_memory_1625587157,dbservice2,memory,database,3,0,1,1,0.6,"['redisservice1', 'dbservice1', 'dbservice2', 'webservice2', 'mobservice2']",0.9841207542020464
webservice2_file_move_1625587800,webservice2,file_move,web,8,0,0,0,0.0,"['webservice1', 'dbservice1', 'dbservice2', 'mobservice2', 'logservice2']",0.7814485106045137
webservice1_memory_1625607930,webservice1,memory,web,6,0,0,0,0.0,"['dbservice2', 'mobservice1', 'mobservice2', 'redisservice2', 'dbservice1']",0.8668358365158888
redisservice1_memory_1625609699,redisservice1,memory,cache,1,1,1,1,1.0,"['redisservice1', 'redisservice2', 'dbservice1', 'mobservice1', 'webservice1']",1.0
webservice2_memory_1625614232,webservice2,memory,web,9,0,0,0,0.0,"['mobservice1', 'mobservice2', 'dbservice2', 'logservice2', 'redisservice2']",0.7341825357975257
logservice2_memory_1625617463,logservice2,memory,logging,9,0,0,0,0.0,"['mobservice1', 'redisservice2', 'webservice2', 'logservice1', 'dbservice2']",0.9996339716224503
redisservice2_memory_1625620800,redisservice2,memory,cache,10,0,0,0,0.0,"['webservice1', 'logservice1', 'webservice2', 'dbservice2', 'redisservice1']",0.9820137900379085
mobservice1_qr_expired_1625625195,mobservice1,qr_expired,mobile,10,0,0,0,0.0,"['webservice1', 'redisservice2', 'dbservice2', 'redisservice1', 'mobservice2']",0.5
logservice2_memory_1625630457,logservice2,memory,logging,7,0,0,0,0.0,"['mobservice1', 'redisservice2', 'mobservice2', 'dbservice2', 'dbservice1']",0.8625305787873885
webservice1_file_move_1625631001,webservice1,file_move,web,1,1,1,1,1.0,"['webservice1', 'mobservice2', 'dbservice2', 'redisservice2', 'logservice2']",0.9999999979388463
redisservice1_memory_1625631347,redisservice1,memory,cache,6,0,0,0,0.0,"['mobservice1', 'redisservice2', 'mobservice2', 'dbservice1', 'logservice1']",1.0
mobservice2_qr_expired_1625632041,mobservice2,qr_expired,mobile,5,0,0,1,0.2,"['webservice1', 'dbservice2', 'redisservice2', 'redisservice1', 'mobservice2']",0.510400801860917
dbservice2_memory_1625634388,dbservice2,memory,database,3,0,1,1,0.6,"['redisservice2', 'webservice1', 'dbservice2', 'redisservice1', 'mobservice2']",0.9289444346192882
dbservice1_memory_1625637896,dbservice1,memory,database,2,0,1,1,0.8,"['mobservice1', 'dbservice1', 'logservice2', 'logservice1', 'dbservice2']",1.0
logservice1_memory_1625642174,logservice1,memory,logging,9,0,0,0,0.0,"['webservice2', 'mobservice2', 'mobservice1', 'dbservice2', 'redisservice1']",0.8401002749026331
logservice2_memory_1625644104,logservice2,memory,logging,10,0,0,0,0.0,"['redisservice1', 'redisservice2', 'logservice1', 'webservice1', 'dbservice2']",0.7798741913849719
webservice2_memory_1625649699,webservice2,memory,web,7,0,0,0,0.0,"['redisservice1', 'dbservice2', 'mobservice2', 'mobservice1', 'webservice1']",0.8847636345339503
dbservice2_memory_1625656892,dbservice2,memory,database,8,0,0,0,0.0,"['redisservice1', 'mobservice2', 'logservice2', 'redisservice2', 'dbservice1']",0.9933071490757153
webservice1_memory_1625662559,webservice1,memory,web,4,0,0,1,0.4,"['mobservice2', 'redisservice2', 'redisservice1', 'webservice1', 'mobservice1']",0.9469696459115344
mobservice1_qr_expired_1625667731,mobservice1,qr_expired,mobile,5,0,0,1,0.2,"['webservice1', 'dbservice2', 'redisservice1', 'redisservice2', 'mobservice1']",0.5053216464631268
mobservice1_memory_1625667742,mobservice1,memory,mobile,8,0,0,0,0.0,"['dbservice1', 'mobservice2', 'dbservice2', 'logservice1', 'redisservice1']",1.0
dbservice2_memory_1625669580,dbservice2,memory,database,3,0,1,1,0.6,"['redisservice1', 'redisservice2', 'dbservice2', 'dbservice1', 'mobservice1']",0.9820137900379085
dbservice1_memory_1625671282,dbservice1,memory,database,3,0,1,1,0.6,"['mobservice2', 'mobservice1', 'dbservice1', 'redisservice1', 'logservice2']",0.998813652701699
logservice1_memory_1625673674,logservice1,memory,logging,6,0,0,0,0.0,"['dbservice2', 'dbservice1', 'mobservice2', 'webservice1', 'redisservice2']",0.9753085583631564
