dataset,service,fault,instance,seed,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,kept_trace_count,kept_anomalous_trace_count,total_reduction,post_injection_reduction,top5_services
RE2-OB,checkoutservice,cpu,1,2027,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2027,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2027,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2027,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2027,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2027,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2027,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2028,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2028,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2029,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2029,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2030,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2030,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2031,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2032,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2032,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2033,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2033,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2034,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2035,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2035,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.05,1.0,1.0,1.0,1.0,12257,657,11633,33,0.05090968426205433,0.9497716894977168,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.1,0.0,1.0,1.0,0.6,12257,657,11666,66,0.04821734519050336,0.8995433789954338,"['emailservice', 'frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.15,1.0,1.0,1.0,1.0,12257,657,11699,99,0.04552500611895238,0.8493150684931507,"['checkoutservice', 'frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.2,0.0,1.0,1.0,0.8,12257,657,11731,131,0.04291425307987273,0.8006088280060883,"['frontendservice', 'checkoutservice', 'paymentservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.25,1.0,1.0,1.0,1.0,12257,657,11764,164,0.04022191400832176,0.7503805175038052,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.35,0.0,1.0,1.0,0.8,12257,657,11830,230,0.03483723586521992,0.649923896499239,"['frontendservice', 'checkoutservice', 'recommendationservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.5,0.0,1.0,1.0,0.8,12257,657,11928,328,0.026841804683038317,0.5007610350076104,"['frontendservice', 'checkoutservice', 'emailservice', 'paymentservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2026,0.75,0.0,1.0,1.0,0.6,12257,657,12093,493,0.013380109325283551,0.2496194824961948,"['frontendservice', 'emailservice', 'checkoutservice', 'paymentservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,2,2026,1.0,0.0,1.0,1.0,0.8,12257,657,12257,657,0.0,0.0,"['frontendservice', 'checkoutservice', 'emailservice', 'recommendationservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.05,1.0,1.0,1.0,1.0,12257,657,11633,33,0.05090968426205433,0.9497716894977168,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.1,0.0,1.0,1.0,0.8,12257,657,11666,66,0.04821734519050336,0.8995433789954338,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.15,0.0,1.0,1.0,0.8,12257,657,11699,99,0.04552500611895238,0.8493150684931507,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.2,0.0,1.0,1.0,0.6,12257,657,11731,131,0.04291425307987273,0.8006088280060883,"['frontendservice', 'emailservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.25,1.0,1.0,1.0,1.0,12257,657,11764,164,0.04022191400832176,0.7503805175038052,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.35,0.0,1.0,1.0,0.8,12257,657,11830,230,0.03483723586521992,0.649923896499239,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.5,0.0,1.0,1.0,0.8,12257,657,11928,328,0.026841804683038317,0.5007610350076104,"['frontendservice', 'checkoutservice', 'emailservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2027,0.75,0.0,1.0,1.0,0.8,12257,657,12093,493,0.013380109325283551,0.2496194824961948,"['frontendservice', 'checkoutservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2027,1.0,0.0,1.0,1.0,0.8,12257,657,12257,657,0.0,0.0,"['frontendservice', 'checkoutservice', 'emailservice', 'recommendationservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.05,0.0,1.0,1.0,0.6,12257,657,11633,33,0.05090968426205433,0.9497716894977168,"['frontendservice', 'currencyservice', 'checkoutservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.1,0.0,1.0,1.0,0.8,12257,657,11666,66,0.04821734519050336,0.8995433789954338,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.15,0.0,1.0,1.0,0.8,12257,657,11699,99,0.04552500611895238,0.8493150684931507,"['frontendservice', 'checkoutservice', 'recommendationservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.2,0.0,1.0,1.0,0.6,12257,657,11731,131,0.04291425307987273,0.8006088280060883,"['emailservice', 'frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.25,0.0,1.0,1.0,0.8,12257,657,11764,164,0.04022191400832176,0.7503805175038052,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.35,0.0,1.0,1.0,0.8,12257,657,11830,230,0.03483723586521992,0.649923896499239,"['frontendservice', 'checkoutservice', 'emailservice', 'paymentservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.5,0.0,1.0,1.0,0.8,12257,657,11928,328,0.026841804683038317,0.5007610350076104,"['frontendservice', 'checkoutservice', 'emailservice', 'recommendationservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2028,0.75,0.0,1.0,1.0,0.8,12257,657,12093,493,0.013380109325283551,0.2496194824961948,"['frontendservice', 'checkoutservice', 'emailservice', 'paymentservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,2028,1.0,0.0,1.0,1.0,0.8,12257,657,12257,657,0.0,0.0,"['frontendservice', 'checkoutservice', 'emailservice', 'recommendationservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,2,2029,0.05,0.0,1.0,1.0,0.6,12257,657,11633,33,0.05090968426205433,0.9497716894977168,"['frontendservice', 'currencyservice', 'checkoutservice', 'emailservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,2,2029,0.1,0.0,0.0,1.0,0.2,12257,657,11666,66,0.04821734519050336,0.8995433789954338,"['frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice', 'checkoutservice']"
RE2-OB,checkoutservice,cpu,2,2029,0.15,0.0,1.0,1.0,0.8,12257,657,11699,99,0.04552500611895238,0.8493150684931507,"['frontendservice', 'checkoutservice', 'paymentservice', 'productcatalogservice', 'currencyservice']"
