dataset,service,fault,instance,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,kept_trace_count,kept_anomalous_trace_count,top5_services
RE2-OB,emailservice,cpu,1,0.1,0.0,1.0,1.0,0.8,23874,11850,13209,1185,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,cpu,1,0.25,0.0,1.0,1.0,0.8,23874,11850,14986,2962,"['checkoutservice', 'emailservice', 'frontendservice', 'recommendationservice', 'currencyservice']"
RE2-OB,emailservice,cpu,1,0.5,0.0,1.0,1.0,0.8,23874,11850,17949,5925,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,cpu,1,1.0,0.0,1.0,1.0,0.8,23874,11850,23874,11850,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,cpu,2,0.1,0.0,1.0,1.0,0.6,25076,12622,13716,1262,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,cpu,2,0.25,0.0,1.0,1.0,0.6,25076,12622,15610,3156,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,cpu,2,0.5,0.0,1.0,1.0,0.6,25076,12622,18765,6311,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,emailservice,cpu,2,1.0,0.0,1.0,1.0,0.6,25076,12622,25076,12622,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,cpu,3,0.1,0.0,1.0,1.0,0.6,24977,12499,13728,1250,"['checkoutservice', 'frontendservice', 'emailservice', 'paymentservice', 'productcatalogservice']"
RE2-OB,emailservice,cpu,3,0.25,0.0,1.0,1.0,0.6,24977,12499,15603,3125,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,emailservice,cpu,3,0.5,0.0,1.0,1.0,0.6,24977,12499,18728,6250,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,cpu,3,1.0,0.0,1.0,1.0,0.6,24977,12499,24977,12499,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,1,0.1,0.0,0.0,1.0,0.2,24014,11903,13301,1190,"['recommendationservice', 'frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,cpu,1,0.25,0.0,0.0,1.0,0.2,24014,11903,15087,2976,"['recommendationservice', 'frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,cpu,1,0.5,0.0,0.0,1.0,0.2,24014,11903,18063,5952,"['recommendationservice', 'frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,cpu,1,1.0,0.0,0.0,1.0,0.2,24014,11903,24014,11903,"['recommendationservice', 'frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,cpu,2,0.1,0.0,0.0,1.0,0.4,24275,11975,13498,1198,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,2,0.25,0.0,0.0,1.0,0.4,24275,11975,15294,2994,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,2,0.5,0.0,0.0,1.0,0.4,24275,11975,18288,5988,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,2,1.0,0.0,0.0,1.0,0.4,24275,11975,24275,11975,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,3,0.1,0.0,0.0,1.0,0.4,24613,12159,13670,1216,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,3,0.25,0.0,0.0,1.0,0.4,24613,12159,15494,3040,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,3,0.5,0.0,0.0,1.0,0.4,24613,12159,18534,6080,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,cpu,3,1.0,0.0,0.0,1.0,0.4,24613,12159,24613,12159,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,recommendationservice,cpu,1,0.1,0.0,1.0,1.0,0.8,23958,11975,13181,1198,"['frontendservice', 'recommendationservice', 'currencyservice', 'emailservice', 'checkoutservice']"
RE2-OB,recommendationservice,cpu,1,0.25,0.0,1.0,1.0,0.8,23958,11975,14977,2994,"['frontendservice', 'recommendationservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,recommendationservice,cpu,1,0.5,0.0,1.0,1.0,0.8,23958,11975,17971,5988,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,recommendationservice,cpu,1,1.0,0.0,1.0,1.0,0.8,23958,11975,23958,11975,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,recommendationservice,cpu,2,0.1,0.0,1.0,1.0,0.8,24647,12192,13674,1219,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,recommendationservice,cpu,2,0.25,0.0,1.0,1.0,0.8,24647,12192,15503,3048,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,recommendationservice,cpu,2,0.5,0.0,1.0,1.0,0.8,24647,12192,18551,6096,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,recommendationservice,cpu,2,1.0,0.0,1.0,1.0,0.8,24647,12192,24647,12192,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,recommendationservice,cpu,3,0.1,0.0,1.0,1.0,0.8,24843,12269,13801,1227,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,cpu,3,0.25,0.0,1.0,1.0,0.8,24843,12269,15641,3067,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,cpu,3,0.5,0.0,1.0,1.0,0.8,24843,12269,18708,6134,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,recommendationservice,cpu,3,1.0,0.0,1.0,1.0,0.8,24843,12269,24843,12269,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,checkoutservice,delay,1,0.1,1.0,1.0,1.0,1.0,24812,12281,13759,1228,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,checkoutservice,delay,1,0.25,1.0,1.0,1.0,1.0,24812,12281,15601,3070,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,checkoutservice,delay,1,0.5,1.0,1.0,1.0,1.0,24812,12281,18671,6140,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,checkoutservice,delay,1,1.0,1.0,1.0,1.0,1.0,24812,12281,24812,12281,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,checkoutservice,delay,2,0.1,1.0,1.0,1.0,1.0,24318,12022,13498,1202,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,delay,2,0.25,1.0,1.0,1.0,1.0,24318,12022,15302,3006,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,delay,2,0.5,1.0,1.0,1.0,1.0,24318,12022,18307,6011,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,delay,2,1.0,1.0,1.0,1.0,1.0,24318,12022,24318,12022,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,delay,3,0.1,1.0,1.0,1.0,1.0,24620,12277,13571,1228,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,delay,3,0.25,1.0,1.0,1.0,1.0,24620,12277,15412,3069,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,delay,3,0.5,1.0,1.0,1.0,1.0,24620,12277,18481,6138,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,delay,3,1.0,1.0,1.0,1.0,1.0,24620,12277,24620,12277,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,delay,1,0.1,0.0,0.0,1.0,0.2,23667,11142,13639,1114,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'emailservice', 'currencyservice']"
RE2-OB,currencyservice,delay,1,0.25,0.0,0.0,1.0,0.4,23667,11142,15311,2786,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,currencyservice,delay,1,0.5,0.0,0.0,1.0,0.4,23667,11142,18096,5571,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,currencyservice,delay,1,1.0,0.0,0.0,1.0,0.4,23667,11142,23667,11142,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,currencyservice,delay,2,0.1,0.0,0.0,1.0,0.4,23622,11032,13693,1103,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'recommendationservice']"
RE2-OB,currencyservice,delay,2,0.25,0.0,0.0,1.0,0.4,23622,11032,15348,2758,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'recommendationservice']"
RE2-OB,currencyservice,delay,2,0.5,0.0,1.0,1.0,0.6,23622,11032,18106,5516,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,delay,2,1.0,0.0,1.0,1.0,0.6,23622,11032,23622,11032,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,delay,3,0.1,0.0,0.0,1.0,0.4,23369,10931,13531,1093,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,currencyservice,delay,3,0.25,0.0,0.0,1.0,0.4,23369,10931,15171,2733,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,currencyservice,delay,3,0.5,0.0,0.0,1.0,0.4,23369,10931,17904,5466,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,currencyservice,delay,3,1.0,0.0,0.0,1.0,0.4,23369,10931,23369,10931,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,delay,1,0.1,0.0,0.0,0.0,0.0,24663,12469,13441,1247,"['checkoutservice', 'frontendservice', 'paymentservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,delay,1,0.25,0.0,1.0,1.0,0.6,24663,12469,15311,3117,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,delay,1,0.5,0.0,0.0,1.0,0.2,24663,12469,18428,6234,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,emailservice,delay,1,1.0,0.0,0.0,1.0,0.2,24663,12469,24663,12469,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,emailservice,delay,2,0.1,0.0,0.0,1.0,0.4,24709,12305,13634,1230,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'paymentservice']"
RE2-OB,emailservice,delay,2,0.25,0.0,0.0,0.0,0.0,24709,12305,15480,3076,"['checkoutservice', 'frontendservice', 'currencyservice', 'paymentservice', 'productcatalogservice']"
RE2-OB,emailservice,delay,2,0.5,0.0,0.0,1.0,0.4,24709,12305,18556,6152,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'paymentservice']"
RE2-OB,emailservice,delay,2,1.0,0.0,0.0,1.0,0.4,24709,12305,24709,12305,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'paymentservice']"
RE2-OB,emailservice,delay,3,0.1,0.0,0.0,0.0,0.0,24856,12559,13553,1256,"['checkoutservice', 'frontendservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,emailservice,delay,3,0.25,0.0,0.0,0.0,0.0,24856,12559,15437,3140,"['checkoutservice', 'frontendservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,emailservice,delay,3,0.5,0.0,0.0,0.0,0.0,24856,12559,18577,6280,"['checkoutservice', 'frontendservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,emailservice,delay,3,1.0,0.0,0.0,0.0,0.0,24856,12559,24856,12559,"['checkoutservice', 'frontendservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,delay,1,0.1,0.0,0.0,1.0,0.4,22537,9899,13628,990,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,1,0.25,0.0,0.0,1.0,0.4,22537,9899,15113,2475,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,1,0.5,0.0,0.0,1.0,0.4,22537,9899,17588,4950,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,1,1.0,0.0,0.0,1.0,0.4,22537,9899,22537,9899,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,2,0.1,0.0,0.0,1.0,0.4,22523,10119,13416,1012,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'emailservice']"
RE2-OB,productcatalogservice,delay,2,0.25,0.0,0.0,1.0,0.4,22523,10119,14934,2530,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,2,0.5,0.0,0.0,1.0,0.4,22523,10119,17464,5060,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,2,1.0,0.0,0.0,1.0,0.4,22523,10119,22523,10119,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,3,0.1,0.0,0.0,1.0,0.4,22516,9944,13566,994,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,3,0.25,0.0,0.0,1.0,0.4,22516,9944,15058,2486,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,3,0.5,0.0,0.0,1.0,0.4,22516,9944,17544,4972,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,delay,3,1.0,0.0,0.0,1.0,0.4,22516,9944,22516,9944,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,recommendationservice,delay,1,0.1,0.0,1.0,1.0,0.8,24009,11660,13515,1166,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'checkoutservice', 'currencyservice']"
RE2-OB,recommendationservice,delay,1,0.25,0.0,1.0,1.0,0.8,24009,11660,15264,2915,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,1,0.5,0.0,1.0,1.0,0.8,24009,11660,18179,5830,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,1,1.0,0.0,1.0,1.0,0.8,24009,11660,24009,11660,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,2,0.1,0.0,1.0,1.0,0.8,24165,11674,13658,1167,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,2,0.25,0.0,1.0,1.0,0.8,24165,11674,15409,2918,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,2,0.5,0.0,1.0,1.0,0.8,24165,11674,18328,5837,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,2,1.0,0.0,1.0,1.0,0.8,24165,11674,24165,11674,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,3,0.1,0.0,1.0,1.0,0.8,24275,11933,13535,1193,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,recommendationservice,delay,3,0.25,0.0,1.0,1.0,0.8,24275,11933,15325,2983,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,delay,3,0.5,0.0,1.0,1.0,0.8,24275,11933,18308,5966,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,recommendationservice,delay,3,1.0,0.0,1.0,1.0,0.8,24275,11933,24275,11933,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,disk,1,0.1,1.0,1.0,1.0,1.0,23869,11992,13076,1199,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,disk,1,0.25,1.0,1.0,1.0,1.0,23869,11992,14875,2998,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'recommendationservice']"
RE2-OB,checkoutservice,disk,1,0.5,1.0,1.0,1.0,1.0,23869,11992,17873,5996,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,disk,1,1.0,1.0,1.0,1.0,1.0,23869,11992,23869,11992,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,disk,2,0.1,1.0,1.0,1.0,1.0,24997,12388,13848,1239,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,checkoutservice,disk,2,0.25,1.0,1.0,1.0,1.0,24997,12388,15706,3097,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,checkoutservice,disk,2,0.5,1.0,1.0,1.0,1.0,24997,12388,18803,6194,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,checkoutservice,disk,2,1.0,1.0,1.0,1.0,1.0,24997,12388,24997,12388,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,checkoutservice,disk,3,0.1,1.0,1.0,1.0,1.0,24858,12357,13737,1236,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,disk,3,0.25,1.0,1.0,1.0,1.0,24858,12357,15590,3089,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,disk,3,0.5,1.0,1.0,1.0,1.0,24858,12357,18679,6178,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,disk,3,1.0,1.0,1.0,1.0,1.0,24858,12357,24858,12357,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,disk,1,0.1,0.0,1.0,1.0,0.6,22294,10159,13151,1016,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,1,0.25,0.0,1.0,1.0,0.6,22294,10159,14675,2540,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,1,0.5,0.0,1.0,1.0,0.6,22294,10159,17215,5080,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,1,1.0,0.0,1.0,1.0,0.6,22294,10159,22294,10159,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,2,0.1,0.0,1.0,1.0,0.6,24192,11824,13550,1182,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,2,0.25,0.0,1.0,1.0,0.6,24192,11824,15324,2956,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,2,0.5,0.0,1.0,1.0,0.6,24192,11824,18280,5912,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,2,1.0,0.0,1.0,1.0,0.6,24192,11824,24192,11824,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,disk,3,0.1,0.0,1.0,1.0,0.8,24520,12015,13707,1202,"['frontendservice', 'currencyservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice']"
RE2-OB,currencyservice,disk,3,0.25,0.0,1.0,1.0,0.6,24520,12015,15509,3004,"['frontendservice', 'checkoutservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,currencyservice,disk,3,0.5,0.0,1.0,1.0,0.6,24520,12015,18513,6008,"['frontendservice', 'checkoutservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,currencyservice,disk,3,1.0,0.0,1.0,1.0,0.6,24520,12015,24520,12015,"['frontendservice', 'checkoutservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
